date,GMT_0000_PAR,GMT_0300_PAR,GMT_0600_PAR,GMT_0900_PAR,GMT_1200_PAR,GMT_1500_PAR,GMT_1800_PAR,GMT_2100_PAR,DAPAR,PDVI,MPAR,APAR,PPDI,PAI,temperature,pH,oxygen,permanganate,NH,TP,TN,conductivity,turbidity,chla,density
2021-01-01,48.63380432128906,222.09945678710935,190.29920959472656,0.0,0.0,0.0,0.0,0.0,461.032470703125,222099456.78710935,24.67771742078993,0.0,0.25,-0.9999999978309554,4.6,8.2,12.34,6.13,0.089,0.127,1.52,460.3,148.3,0.001,9183910.0
2021-01-02,51.76622009277344,229.5604248046875,82.49781799316406,0.0,0.0,0.0,0.0,0.0,363.824462890625,229560424.8046875,25.5067138671875,0.0,0.375,-0.9999999972514216,4.8,8.07,11.42,5.08,0.061,0.027,1.12,427.8,87.9,0.001,1645330.0
2021-01-03,48.0138053894043,220.22149658203125,170.30479431152344,0.0,0.0,0.0,0.0,0.0,438.540096282959,220221496.58203125,24.46905517578125,0.0,0.25,-0.9999999977197068,5.0,8.19,12.27,4.92,0.063,0.044,1.24,419.5,77.7,0.001,1643140.0
2021-01-04,15.592937469482422,72.63130187988281,25.430198669433597,0.003790825838223,0.0,0.0,0.0,0.0,113.65822884463704,72631301.87988281,8.069723450449398,0.0,0.375,-0.999999991201693,5.8,8.24,12.42,4.37,0.161,0.061,1.7,485.8,38.0,0.002,1013810.0
2021-01-05,29.645919799804688,137.85617065429688,59.12882232666016,0.0633869469165802,0.0,0.0,0.0,0.0,226.6942997276783,137856170.65429688,15.310309300820032,0.0,0.375,-0.9999999955887732,6.1,8.25,12.4,4.29,0.155,0.045,1.74,469.4,27.0,0.002,840430.0
2021-01-06,8.919698715209961,41.06478500366211,15.841148376464844,0.0369628369808197,0.0,0.0,0.0,0.0,65.86259493231773,41064785.00366211,4.558646907409032,0.0,0.375,-0.9999999848168756,6.3,8.24,12.29,5.03,0.148,0.075,1.76,477.2,65.2,0.002,1619920.0
2021-01-07,16.52274513244629,75.73489379882812,97.87998962402344,0.3667030930519104,0.0,0.0,0.0,0.0,190.50433164834976,97879989.62402344,10.834809614552393,0.0,0.25,-0.9999999947507756,6.0,8.18,12.08,4.63,0.095,0.068,1.31,433.3,99.4,0.001,2142190.0
2021-01-08,53.04935073852539,229.9692230224609,194.97471618652344,1.0771195888519287,0.0,0.0,0.0,0.0,479.0704095363617,229969223.0224609,25.43245593706767,0.0,0.25,-0.9999999979126242,3.9,8.27,12.58,5.98,-1.0,-1.0,2.06,510.6,159.6,0.005,-1.0
2021-01-09,75.506103515625,266.10321044921875,216.66278076171875,1.7583024501800537,0.0,0.0,0.0,0.0,560.0303971767426,266103210.44921875,29.37165644433763,0.0,0.375,-0.9999999982143828,2.8,8.26,13.02,6.13,0.104,0.025,1.95,510.7,141.7,0.003,1407170.0
2021-01-10,51.19563674926758,224.5679931640625,149.81594848632812,1.2346116304397583,0.0,0.0,0.0,0.0,426.814190030098,224567993.1640625,24.814820170402527,0.0,0.25,-0.99999999765706,2.9,8.27,13.13,5.48,0.088,-1.0,1.52,474.8,83.7,0.004,-1.0
