GMT_0000_PAR,GMT_0300_PAR,GMT_0600_PAR,GMT_0900_PAR,GMT_1200_PAR,GMT_1500_PAR,GMT_1800_PAR,GMT_2100_PAR,DAPAR,PDVI,MPAR,APAR,PPDI,PAI,date
48.63380432128906,222.09945678710938,190.29920959472656,0.0,0.0,0.0,0.0,0.0,461.032470703125,222099456.78710938,24.677717420789932,0.0,0.25,-0.9999999978309554,2021-01-01
51.76622009277344,229.5604248046875,82.49781799316406,0.0,0.0,0.0,0.0,0.0,363.824462890625,229560424.8046875,25.5067138671875,0.0,0.375,-0.9999999972514217,2021-01-02
48.0138053894043,220.22149658203125,170.30479431152344,0.0,0.0,0.0,0.0,0.0,438.540096282959,220221496.58203125,24.46905517578125,0.0,0.25,-0.9999999977197068,2021-01-03
15.592937469482422,72.63130187988281,25.430198669433594,0.0037908258382230997,0.0,0.0,0.0,0.0,113.65822884463705,72631301.87988281,8.069723450449398,0.0,0.375,-0.999999991201693,2021-01-04
29.645919799804688,137.85617065429688,59.128822326660156,0.0633869469165802,0.0,0.0,0.0,0.0,226.6942997276783,137856170.65429688,15.310309300820032,0.0,0.375,-0.9999999955887731,2021-01-05
8.919698715209961,41.06478500366211,15.841148376464844,0.0369628369808197,0.0,0.0,0.0,0.0,65.86259493231773,41064785.00366211,4.558646907409032,0.0,0.375,-0.9999999848168755,2021-01-06
16.52274513244629,75.73489379882812,97.87998962402344,0.3667030930519104,0.0,0.0,0.0,0.0,190.50433164834976,97879989.62402344,10.834809614552391,0.0,0.25,-0.9999999947507756,2021-01-07
53.04935073852539,229.96922302246094,194.97471618652344,1.0771195888519287,0.0,0.0,0.0,0.0,479.0704095363617,229969223.02246094,25.43245593706767,0.0,0.25,-0.9999999979126242,2021-01-08
75.506103515625,266.10321044921875,216.66278076171875,1.7583024501800537,0.0,0.0,0.0,0.0,560.0303971767426,266103210.44921875,29.37165644433763,0.0,0.375,-0.9999999982143827,2021-01-09
51.19563674926758,224.5679931640625,149.81594848632812,1.2346116304397583,0.0,0.0,0.0,0.0,426.81419003009796,224567993.1640625,24.814820170402527,0.0,0.25,-0.99999999765706,2021-01-10
48.52103805541992,215.32557678222656,136.98794555664062,1.3506368398666382,0.0,0.0,0.0,0.0,402.18519723415375,215325576.78222656,23.77499332692888,0.0,0.25,-0.9999999975135833,2021-01-11
57.274940490722656,238.01210021972656,195.5384979248047,2.361423969268799,0.0,0.0,0.0,0.0,493.1869626045227,238012100.21972656,26.183408472273086,0.0,0.25,-0.9999999979723714,2021-01-12
72.0605697631836,262.4940185546875,216.5891571044922,3.37422776222229,0.0,0.0,0.0,0.0,554.5179731845856,262494018.5546875,28.791087865829468,0.0,0.375,-0.999999998196632,2021-01-13
68.624267578125,258.1302795410156,210.9757537841797,3.5721275806427,0.0,0.0,0.0,0.0,541.302428483963,258130279.54101562,28.284239106708103,0.0,0.375,-0.9999999981526039,2021-01-14
57.63294982910156,237.63357543945312,183.2900390625,3.078798294067383,0.0,0.0,0.0,0.0,481.63536262512207,237633575.43945312,26.061641905042862,0.0,0.25,-0.9999999979237405,2021-01-15
38.1439323425293,165.4927215576172,113.726318359375,2.12637996673584,0.0,0.0,0.0,0.0,319.4893522262573,165492721.5576172,18.15181573232015,0.0,0.25,-0.9999999968700053,2021-01-16
54.88488006591797,229.50634765625,189.08221435546875,3.914543628692627,0.0,0.0,0.0,0.0,477.38798570632935,229506347.65625,25.06575600306193,0.0,0.25,-0.9999999979052678,2021-01-17
83.80249786376953,277.5621643066406,234.0808563232422,6.866936683654785,0.0,0.0,0.0,0.0,602.3124551773071,277562164.3066406,30.077247513665093,0.0,0.375,-0.9999999983397322,2021-01-18
66.06004333496094,253.08615112304688,202.0653533935547,5.1560750007629395,0.0,0.0,0.0,0.0,526.3676228523254,253086151.12304688,27.547786235809326,0.0,0.375,-0.9999999981001871,2021-01-19
83.16832733154297,277.23126220703125,213.31369018554688,6.112386703491211,0.0,0.0,0.0,0.0,579.8256664276123,277231262.20703125,30.124319500393337,0.0,0.375,-0.9999999982753437,2021-01-20
38.31861877441406,159.43222045898438,121.74526977539062,3.467653274536133,0.0,0.0,0.0,0.0,322.9637622833252,159432220.45898438,17.329396353827583,0.0,0.25,-0.9999999969036774,2021-01-21
5.787498950958252,23.775737762451172,18.893478393554688,0.5580978989601135,0.0,0.0,0.0,0.0,49.014813005924225,23775737.762451172,2.5797377626101174,0.0,0.25,-0.9999999795980049,2021-01-22
7.6193928718566895,31.081083297729492,38.79441452026367,1.2332743406295776,0.0,0.0,0.0,0.0,78.72816503047943,38794414.52026367,4.173460019959344,0.0,0.25,-0.9999999872980656,2021-01-23
30.748395919799805,124.85045623779297,20.706928253173828,0.6976863145828247,0.0,0.0,0.0,0.0,177.00346672534943,124850456.23779297,13.794752213690016,0.0,0.25,-0.9999999943503932,2021-01-24
20.19474983215332,81.17593383789062,49.81310272216797,1.7942708730697632,0.0,0.0,0.0,0.0,152.97805726528168,81175933.83789062,8.820184773868984,0.0,0.375,-0.9999999934631149,2021-01-25
9.998259544372559,39.84657669067383,19.026283264160156,0.7203904986381531,0.0,0.0,0.0,0.0,69.5915099978447,39846576.69067383,4.347354021337297,0.0,0.375,-0.9999999856304314,2021-01-26
57.48350143432617,226.84701538085938,176.63563537597656,7.263422012329102,0.0,0.0,0.0,0.0,468.2295742034912,226847015.38085938,24.398177040947807,0.0,0.25,-0.9999999978642955,2021-01-27
