date,ndci,ndvi,evi,ndwi,fai,nrfi,b1,b2,b3,b4,b5,b6,b7
2021-01-01,0.1254924088716507,0.3489208519458771,0.9899643063545227,-0.057591624557971954,0.16775250434875488,0.041227228939533234,1086.0,2250.0,777.0,1000.0,2525.0,1857.0,1106.0
2021-01-02,0.018836332485079765,0.22897638380527496,3.5918972492218018,-0.06628379970788956,0.10347479581832886,0.0028676772490143776,1224.0,1951.0,1172.0,1217.0,2228.0,1878.0,1192.0
2021-01-03,0.03691813722252846,0.11059801280498505,2.591991424560547,-0.030632808804512024,0.05529946833848953,-0.003105590119957924,1926.0,2405.0,1800.0,1938.0,2557.0,1774.0,1053.0
2021-01-04,0.00550038181245327,0.01705472357571125,-0.2624971568584442,0.01856527477502823,0.01759749837219715,0.0035581800621002913,6628.0,6858.0,6509.0,6581.0,6608.0,5747.0,3883.0
2021-01-05,0.017671916633844376,0.009357917122542858,-0.30385076999664307,-0.01864696852862835,-0.000896613288205117,0.0045095826499164104,5346.0,5447.0,5114.0,5298.0,5654.0,5669.0,4683.0
2021-01-06,-0.014896451495587826,0.005182625725865364,-0.033175356686115265,0.04422510042786598,0.018884019926190376,-0.004445542115718126,4031.0,4073.0,4190.0,4067.0,3728.0,2284.0,1259.0
2021-01-07,-0.02838267758488655,0.03759578615427017,-0.2553260624408722,0.01988937333226204,0.03115707077085972,0.006007509306073189,4019.0,4333.0,4203.0,3971.0,4164.0,3104.0,2005.0
2021-01-08,0.02162909507751465,0.09481958548227945,0.04538037379582721,-0.010945387184619904,0.05080357318123181,0.015423538784186045,3202.6666666666665,3689.0,3184.6666666666665,3136.0,3701.6666666666665,2872.6666666666665,1857.0
2021-01-09,0.07164086773991585,0.15204338481028873,0.3460868100325266,-0.041780147701501846,0.0704500755916039,0.0248395682622989,2386.333333333333,3045.0,2166.333333333333,2301.0,3239.3333333333335,2641.3333333333335,1709.0
2021-01-10,0.12165264040231705,0.20926718413829803,0.6467932462692261,-0.07261490821838379,0.09009657800197601,0.03425559774041176,1570.0,2401.0,1148.0,1466.0,2777.0,2410.0,1561.0
2021-01-11,0.09966916292905807,0.18476865738630294,-1.542168140411377,-0.06392442919313908,0.08048103675246239,0.028634112421423198,1910.6,2699.8,1550.0,1819.4,3047.4,2512.2,1600.4
2021-01-12,0.0776856854557991,0.16027013063430787,-3.73112952709198,-0.05523395016789436,0.07086549550294877,0.023012627102434634,2251.2,2998.6,1952.0,2172.8,3317.8,2614.4,1639.8
2021-01-13,0.055702207982540136,0.13577160388231277,-5.920090913772583,-0.046543471142649645,0.06124995425343513,0.01739114178344607,2591.8,3297.4,2354.0,2526.2,3588.2,2716.6,1679.2
2021-01-14,0.03371873050928116,0.11127307713031769,-8.109052300453186,-0.037852992117404935,0.051634413003921506,0.01176965646445751,2932.4,3596.2,2756.0,2879.6,3858.6,2818.8,1718.6
2021-01-15,0.011735253036022186,0.0867745503783226,-10.298013687133789,-0.029162513092160225,0.04201887175440788,0.00614817114546895,3273.0,3895.0,3158.0,3233.0,4129.0,2921.0,1758.0
2021-01-16,-0.028872065246105194,0.03855514153838158,-0.21533839404582977,0.008834142237901688,0.027666030451655388,-0.004113042261451483,3753.0,4054.0,4009.0,3784.0,3983.0,2810.0,1717.0
2021-01-17,-0.020011313492432237,0.05648644920438528,1.3573749028146267,-0.011544384993612766,0.029927875380963087,0.0013095176545903087,3350.25,3708.75,3517.0,3355.0,3760.25,2877.5,1953.75
2021-01-18,-0.01115056173875928,0.07441775687038898,2.930088199675083,-0.03192291222512722,0.032189720310270786,0.0067320775706321,2947.5,3363.5,3025.0,2926.0,3537.5,2945.0,2190.5
2021-01-19,-0.002289809985086322,0.09234906453639269,4.50280149653554,-0.052301439456641674,0.034451565239578485,0.012154637486673892,2544.75,3018.25,2533.0,2497.0,3314.75,3012.5,2427.25
2021-01-20,0.006570941768586636,0.11028037220239639,6.075514793395996,-0.07267996668815613,0.036713410168886185,0.017577197402715683,2142.0,2673.0,2041.0,2068.0,3092.0,3080.0,2664.0
2021-01-21,0.028442438691854477,0.016629086807370186,0.889894425868988,0.02137901820242405,0.01833236962556839,0.010425716638565063,6978.0,7214.0,6456.0,6834.0,6912.0,4919.0,3009.0
2021-01-22,-0.00043582479702308774,-0.0003786034940276295,0.0042321644723415375,0.05647650733590126,0.019351549446582794,0.004016936291009188,9248.0,9241.0,9182.0,9174.0,8253.0,6475.0,4681.0
2021-01-23,-0.03957151994109154,-0.0028388460632413626,0.012293441221117973,0.035087719559669495,0.010477647185325623,-0.0017087276792153716,7595.0,7552.0,8249.0,7621.0,7040.0,6152.0,4561.0
2021-01-24,0.020041465759277344,0.049335379153490067,-5.761194229125977,0.008351756259799004,0.034216947853565216,0.003914158325642347,3719.0,4105.0,3545.0,3690.0,4037.0,3141.0,1957.0
2021-01-25,-0.003630123334005475,0.0013222265988588333,-0.012105071917176247,0.024693863466382027,0.009604375809431076,0.0003311038890387863,7553.0,7573.0,7603.0,7548.0,7208.0,6391.0,4815.0
2021-01-26,0.020931225270032883,0.010685935616493225,-1.0458167791366577,0.03141714632511139,0.018045537173748016,0.008350188843905926,9721.0,9931.0,9168.0,9560.0,9326.0,7755.0,5496.0
2021-01-27,0.0029211295768618584,0.012595662847161293,-0.15369649231433868,0.02717127650976181,0.017790107056498528,0.0010506748221814632,6193.0,6351.0,6144.0,6180.0,6015.0,5701.0,4185.0
