ndci,ndvi,evi,ndwi,fai,nrfi,b1,b2,b3,b4,b5,b6,b7,date
-0.0015878056874498725,0.003403075272217393,-0.036159101873636246,0.03208659961819649,0.013534057885408401,0.0029809095431119204,7907.0,7961.0,7885.0,7860.0,7466.0,5793.0,3588.0,2021-01-04
0.016784528270363808,0.009096124209463596,-0.3299643397331238,0.008765462785959244,0.008977171964943409,0.006576209329068661,6046.0,6157.0,5770.0,5967.0,6050.0,6021.0,5087.0,2021-01-05
-0.003292120760306716,0.003149491036310792,-0.028678137809038162,0.0460551455616951,0.01816973276436329,-0.0005140632856637239,6805.0,6848.0,6857.0,6812.0,6245.0,2955.0,1463.0,2021-01-06
-0.0351109653711319,0.008001333102583885,-0.04686584696173668,0.03615489974617958,0.017949240282177925,0.010613908059895039,5951.0,6047.0,6250.0,5826.0,5625.0,3456.0,2232.0,2021-01-07
0.05981067195534706,0.1463780254125595,0.9030203223228455,-0.04666943475604057,0.06855396926403046,0.01989653892815113,2563.0,3442.0,2185.0,2463.0,3779.0,3160.0,2208.0,2021-01-10
-0.0037359900306910276,0.05502958595752716,-0.6418219208717346,0.010770974680781364,0.038671962916851044,-0.0009383797296322882,3194.0,3566.0,3224.0,3200.0,3490.0,2720.0,1792.0,2021-01-11
0.14687837660312653,0.25058847665786743,0.6414329409599304,-0.04275184124708176,0.126437246799469,0.04850299283862114,1751.0,2922.0,1182.0,1589.0,3183.0,2866.0,1920.0,2021-01-12
0.13463324308395386,0.3699047565460205,0.7432639598846436,-0.04691227152943611,0.18371471762657166,0.15020862221717834,827.0,1798.0,466.0,611.0,1975.0,1874.0,1235.0,2021-01-14
0.012667261064052582,0.08387096971273422,-3.6984353065490723,0.008403361774981022,0.055461347103118896,0.00035223670420236886,2840.0,3360.0,2767.0,2838.0,3304.0,2664.0,1790.0,2021-01-16
0.02402150258421898,0.01916196197271347,-3.8375797271728516,0.05925130099058151,0.03322639316320419,0.005870841443538666,6168.0,6409.0,5810.0,6096.0,5692.0,5081.0,3678.0,2021-01-21
-0.005283190403133631,-0.0021652420982718468,0.01963215507566929,0.09388469159603119,0.030374756082892418,0.0022223489359021187,8794.0,8756.0,8848.0,8755.0,7253.0,4724.0,3050.0,2021-01-22
0.011934706941246986,0.010772640816867352,-0.2823561131954193,0.0469275526702404,0.023485083132982254,0.007454068399965763,9596.0,9805.0,9231.0,9454.0,8926.0,7672.0,5524.0,2021-01-23
0.004225139506161213,0.013951428234577179,-0.18533045053482056,0.01755685545504093,0.015245224349200726,0.0017999099800363183,6679.0,6868.0,6599.0,6655.0,6631.0,5754.0,4085.0,2021-01-24
0.009858551435172558,0.011503869667649269,-0.1887008249759674,0.015184381976723671,0.01282454002648592,0.0014833650784566998,7089.0,7254.0,6930.0,7068.0,7037.0,6222.0,4858.0,2021-01-25
0.006150749046355486,0.0011554332450032234,-0.016982046887278557,0.042571477591991425,0.015666885301470757,0.00442624744027853,9077.0,9098.0,8887.0,8997.0,8355.0,6687.0,4854.0,2021-01-26
-0.008646778762340546,0.07058088481426239,-0.5526573061943054,0.019429024308919907,0.05160277709364891,-0.013480663299560547,2232.0,2571.0,2333.0,2293.0,2473.0,2209.0,1620.0,2021-01-27
0.030077598989009857,0.014318816363811493,0.3784547746181488,0.023133166134357452,0.017471475526690483,0.016170525923371315,8295.0,8536.0,7562.0,8031.0,8150.0,7438.0,5767.0,2021-01-28
0.15478388965129852,0.2666514217853546,0.7664473652839661,-0.04371868073940277,0.1342480331659317,0.012322274968028069,1602.0,2767.0,1144.0,1563.0,3020.0,2648.0,1784.0,2021-01-30
-0.0018180678598582745,0.004836909472942352,-0.05301794409751892,0.04393763840198517,0.018558135256171227,0.003941195085644722,8024.0,8102.0,7990.0,7961.0,7420.0,4986.0,2691.0,2021-01-31
0.009756657294929028,0.005465096794068813,-0.08591674268245697,0.08956591039896011,0.03417539224028587,0.001645576790906489,8826.0,8923.0,8627.0,8797.0,7456.0,3686.0,1937.0,2021-02-01
0.03252452239394188,0.11304347962141037,3.3710105419158936,-0.009327247738838196,0.06569802761077881,-0.0027575832791626453,1989.0,2496.0,1874.0,2000.0,2543.0,2272.0,1602.0,2021-02-02
0.14299564063549042,0.3467870354652405,0.9933069944381714,-0.043560247868299484,0.17439937591552734,0.021170610561966896,1230.0,2536.0,884.0,1179.0,2767.0,2512.0,1621.0,2021-02-04
-0.01229211874306202,-0.00780546385794878,0.04638715460896492,0.04746058210730553,0.01138718705624342,-0.008564678020775318,6714.0,6610.0,7000.0,6830.0,6011.0,4811.0,3155.0,2021-02-05
-0.023434242233633995,0.019963400438427925,-0.1321004033088684,0.03897644579410553,0.02672104351222515,0.0030648731626570225,5891.0,6131.0,6136.0,5855.0,5671.0,4711.0,3713.0,2021-02-08
-0.0008801955846138299,0.018646880984306335,-0.15898118913173676,0.035016369074583054,0.024474427103996277,-0.008091572672128677,5026.0,5217.0,5117.0,5108.0,4864.0,2557.0,1357.0,2021-02-10
0.004385964944958687,-0.006996741984039545,0.08304805308580399,0.14964134991168976,0.04417189210653305,0.0020195578690618277,9427.0,9296.0,9307.0,9389.0,6876.0,2934.0,1521.0,2021-02-11
-0.014930270612239838,0.014228987507522106,-0.09521700441837311,0.03995249792933464,0.023332951590418816,-0.003845510771498084,5958.0,6130.0,6186.0,6004.0,5659.0,4143.0,1904.0,2021-02-12
0.01763584278523922,0.05945343151688576,-1.5333716869354248,-0.007316053379327059,0.03442898020148277,-0.006363422144204378,4216.0,4749.0,4122.0,4270.0,4819.0,4626.0,3549.0,2021-02-13
