GMT_0000_PAR,GMT_0300_PAR,GMT_0600_PAR,GMT_0900_PAR,GMT_1200_PAR,GMT_1500_PAR,GMT_1800_PAR,GMT_2100_PAR,DAPAR,PDVI,MPAR,APAR,PPDI,PAI,density_mean,density_lower,density_upper,date
45.95585632324219,216.9055938720703,186.09100341796875,0.014380445703864098,0.0,0.0,0.0,0.0,448.9668340589851,216905593.8720703,24.099023714040715,0.0,0.25,-0.999999997772664,8759783.333333334,7399464.949320565,10120101.717346102,2021-01-01
50.1236686706543,227.54513549804688,184.8091278076172,0.14387229084968567,0.0,0.0,0.0,0.0,462.62180426716805,227545135.49804688,25.26680702302191,0.0,0.25,-0.9999999978384071,7334620.0,5546074.601405852,9123165.398594148,2021-01-02
45.81788635253906,216.28050231933594,173.1100616455078,0.31773221492767334,0.0,0.0,0.0,0.0,435.5261825323105,216280502.31933594,23.99586334493425,0.0,0.25,-0.9999999977039268,5136341.666666667,3689354.603590767,6583328.729742567,2021-01-03
20.345468521118164,96.44871520996094,55.23086929321289,0.16524110734462738,0.0,0.0,0.0,0.0,172.19029413163662,96448715.20996094,10.69816378917959,0.0,0.25,-0.9999999941924718,3622895.0,2938557.904018173,4307232.095981827,2021-01-04
30.965219497680664,146.45005798339844,59.620323181152344,0.24645070731639862,0.0,0.0,0.0,0.0,237.28205136954784,146450057.98339844,16.244845252898003,0.0,0.375,-0.9999999957856063,3845083.3333333335,2955843.6350836456,4734323.031583021,2021-01-05
10.198613166809082,47.70771026611328,16.17365264892578,0.08697822690010071,0.0,0.0,0.0,0.0,74.16695430874825,47707710.26611328,5.291192448801464,0.0,0.375,-0.9999999865169065,3924880.0,3191972.997803077,4657787.002196923,2021-01-06
22.5374755859375,105.06686401367188,116.4044189453125,0.7961552143096924,0.0,0.0,0.0,0.0,244.80491375923157,116404418.9453125,12.84536263677809,0.0,0.25,-0.9999999959151147,8621175.0,6709198.740594843,10533151.259405157,2021-01-07
52.406620025634766,230.3445281982422,199.68637084960938,1.7907427549362183,0.0,0.0,0.0,0.0,484.22826182842255,230344528.1982422,25.394865049256218,0.0,0.25,-0.9999999979348583,10061341.666666666,9279913.176165551,10842770.157167781,2021-01-08
69.6924819946289,260.1973571777344,215.82736206054688,2.5189156532287598,0.0,0.0,0.0,0.0,548.2361168861389,260197357.17773438,28.63093794716729,0.0,0.375,-0.9999999981759684,7300426.666666667,6764396.218412772,7836457.114920562,2021-01-09
50.35337448120117,224.3763427734375,163.91583251953125,1.836006999015808,0.0,0.0,0.0,0.0,440.48155677318573,224376342.7734375,24.726703974935745,0.0,0.25,-0.9999999977297575,5465925.0,4945179.220086115,5986670.779913885,2021-01-10
42.760467529296875,195.995361328125,154.63800048828125,1.9807548522949219,0.0,0.0,0.0,0.0,395.37458419799805,195995361.328125,21.557178497314453,0.0,0.25,-0.999999997470753,4806896.666666667,4313548.217822802,5300245.115510532,2021-01-11
55.4030647277832,235.48526000976562,189.1873321533203,2.8055338859558105,0.0,0.0,0.0,0.0,482.88119077682495,235485260.00976562,25.853302902645535,0.0,0.25,-0.9999999979290972,4986473.333333333,4494405.727158673,5478540.939507993,2021-01-12
63.8053092956543,251.57334899902344,211.49639892578125,3.8855597972869873,0.0,0.0,0.0,0.0,530.760617017746,251573348.99902344,27.520865466859604,0.0,0.25,-0.9999999981159114,3948098.3333333335,3676259.488289045,4219937.178377622,2021-01-13
64.65645599365234,252.90750122070312,189.23521423339844,3.505380868911743,0.0,0.0,0.0,0.0,510.30455231666565,252907501.22070312,27.711346705754597,0.0,0.375,-0.9999999980403859,3195135.0,2832973.5446559577,3557296.4553440423,2021-01-14
54.12136459350586,230.9519805908203,174.15333557128906,3.4290120601654053,0.0,0.0,0.0,0.0,462.65569281578064,230951980.5908203,25.280329836739433,0.0,0.25,-0.9999999978385654,3022996.6666666665,2788796.117471895,3257197.215861438,2021-01-15
33.96623611450195,149.20376586914062,73.45634460449219,1.5799521207809448,0.0,0.0,0.0,0.0,258.2062987089157,149203765.86914062,16.402645972039963,0.0,0.375,-0.9999999961271278,4167043.3333333335,3694864.01364293,4639222.6530237375,2021-01-16
52.81911087036133,225.66958618164062,184.76718139648438,4.316739559173584,0.0,0.0,0.0,0.0,467.5726180076599,225669586.18164062,24.59476073582967,0.0,0.25,-0.9999999978612948,4889243.333333333,4396043.272898185,5382443.393768481,2021-01-17
80.8137435913086,275.0509338378906,230.17364501953125,7.313582420349121,0.0,0.0,0.0,0.0,593.3519048690796,275050933.8378906,29.748594601949055,0.0,0.375,-0.9999999983146595,3611130.0,3062506.3762390297,4159753.6237609703,2021-01-18
62.6397705078125,248.06005859375,196.39492797851562,5.4757280349731445,0.0,0.0,0.0,0.0,512.5704851150513,248060058.59375,26.95381450653076,0.0,0.25,-0.9999999980490488,4948865.0,3629911.468022055,6267818.531977945,2021-01-19
71.3835220336914,263.2616882324219,205.48089599609375,6.253422260284424,0.0,0.0,0.0,0.0,546.3795285224915,263261688.23242188,28.55647399690416,0.0,0.375,-0.9999999981697704,5522246.666666667,5099983.995839506,5944509.337493828,2021-01-20
29.8217830657959,125.48296356201172,152.28785705566406,4.772512912750244,0.0,0.0,0.0,0.0,312.3651165962219,152287857.05566406,16.39059379365709,0.0,0.25,-0.9999999967986182,4939941.666666667,4056221.1847744435,5823662.14855889,2021-01-21
