date,GMT_0000_PAR,GMT_0300_PAR,GMT_0600_PAR,GMT_0900_PAR,GMT_1200_PAR,GMT_1500_PAR,GMT_1800_PAR,GMT_2100_PAR,DAPAR,PDVI,MPAR,APAR,PPDI,PAI,density_mean,density_lower,density_upper,temperature,pH,oxygen,permanganate,NH,TP,TN,conductivity,turbidity,chla,density
2021-01-01,61.67905044555664,247.15306091308597,210.6964111328125,0.0,0.0,0.0,0.0,0.0,519.5285224914551,247153060.91308597,27.461451212565105,0.0,0.25,-0.999999998075178,4075622.5,3297155.229716191,4854089.770283809,3.6,8.43,13.14,5.41,0.025,0.122,1.86,400.4,132.2,0.001,5227082.0
2021-01-02,66.88575744628906,254.7873077392578,170.9289093017578,0.0,0.0,0.0,0.0,0.0,492.6019744873047,254787307.7392578,28.30970085991753,0.0,0.375,-0.9999999979699636,2466880.333333333,2194850.5194516205,2738910.1472150465,4.4,8.32,11.96,4.27,0.063,0.071,2.06,420.6,65.2,0.001,2420536.0
2021-01-03,51.17420959472656,228.6804656982422,173.02182006835938,0.0,0.0,0.0,0.0,0.0,452.8764953613281,228680465.6982422,25.40894063313802,0.0,0.25,-0.9999999977918924,2329588.333333333,2152933.114731741,2506243.551934926,4.2,8.4,13.02,4.0,0.095,0.054,2.24,427.9,52.7,0.001,2537244.0
2021-01-04,12.91636562347412,60.61852264404297,16.036460876464844,0.0,0.0,0.0,0.0,0.0,89.57134914398193,60618522.64404297,6.735391404893663,0.0,0.375,-0.999999988835716,2112371.833333333,1932278.149344465,2292465.5173222017,4.8,8.45,13.15,3.89,0.187,0.054,2.9,448.1,40.0,0.002,2447887.0
2021-01-05,34.08477020263672,160.2778778076172,84.48191833496094,0.0,0.0,0.0,0.0,0.0,278.84456634521484,160277877.8076172,17.808653089735245,0.0,0.25,-0.9999999964137728,2863050.6666666665,2491680.2504594945,3234421.0828738385,5.6,8.41,12.65,-1.0,0.128,0.054,-1.0,410.7,40.0,0.001,2527340.0
2021-01-06,15.945000648498535,74.04296875,41.626075744628906,0.0009087576763704,0.0,0.0,0.0,0.0,131.6149539008038,74042968.75,8.226895554702626,0.0,0.25,-0.9999999924020792,2690222.0,2441698.882888178,2938745.117111822,5.4,8.34,12.77,4.25,0.048,0.058,1.73,408.0,54.3,0.001,3181530.0
2021-01-07,19.82686996459961,91.6218719482422,166.8946075439453,0.1419248133897781,0.0,0.0,0.0,0.0,278.4852742701769,166894607.5439453,18.52807585895061,0.0,0.25,-0.9999999964091458,4251985.333333333,3722108.522796188,4781862.143870479,5.0,8.39,12.74,3.86,0.116,0.045,2.36,425.9,59.4,0.001,3116855.0
2021-01-08,57.40433120727539,239.2525634765625,199.4998779296875,0.5149025321006775,0.0,0.0,0.0,0.0,496.67167514562607,239252563.4765625,26.52640677160687,0.0,0.25,-0.9999999979865974,3777234.5,3387268.4182895334,4167200.581710466,2.7,8.4,13.42,4.75,0.1,0.07,2.52,479.7,107.9,0.002,4584776.0
2021-01-09,74.54743194580078,264.57501220703125,221.58319091796875,1.10546875,0.0,0.0,0.0,0.0,561.8111038208008,264575012.20703125,29.27439371744792,0.0,0.375,-0.9999999982200424,3009715.833333333,2758023.5280950554,3261408.138571612,1.8,8.33,13.88,5.18,0.126,0.095,3.0,445.9,72.4,0.002,3203187.0
2021-01-10,33.175540924072266,151.0856170654297,169.40548706054688,0.9233064651489258,0.0,0.0,0.0,0.0,354.5899515151977,169405487.06054688,18.72024228837755,0.0,0.25,-0.9999999971798412,2267453.333333333,2005351.0488078275,2529555.61785884,1.9,8.35,14.14,4.36,0.122,0.06,2.56,447.3,49.1,0.002,2805879.0
2021-01-11,36.83750915527344,167.02359008789062,173.93435668945312,1.2344601154327393,0.0,0.0,0.0,0.0,379.0299160480499,173934356.68945312,19.188877397113377,0.0,0.25,-0.999999997361686,2167271.0,1405847.8143098466,2928694.1856901534,2.4,8.35,14.01,3.97,0.178,0.046,2.83,435.2,33.3,0.002,1508827.0
2021-01-12,56.83024215698242,237.12945556640625,200.50213623046875,1.9267574548721316,0.0,0.0,0.0,0.0,496.3885914087296,237129455.56640625,26.13363312350379,0.0,0.25,-0.9999999979854493,3511082.833333333,3025290.8045484964,3996874.8621181706,2.5,8.4,14.35,4.68,0.134,0.076,2.95,466.8,72.0,0.005,4259980.0
2021-01-13,77.705078125,268.7313232421875,223.86135864257807,3.015303611755371,0.0,0.0,0.0,0.0,573.313063621521,268731323.2421875,29.52400218115913,0.0,0.375,-0.9999999982557524,3218520.1666666665,2898186.976894946,3538853.356438387,2.9,8.4,14.24,4.31,0.103,0.06,-1.0,468.1,41.0,0.005,3238337.0
2021-01-14,77.51813507080078,269.1622619628906,218.7247467041016,3.2878289222717285,0.0,0.0,0.0,0.0,568.6929726600647,269162261.9628906,29.54160367117988,0.0,0.375,-0.999999998241582,3438946.1666666665,2971145.777496488,3906746.555836845,4.2,8.42,13.58,4.48,0.066,0.065,3.03,466.6,30.7,0.004,2792241.0
2021-01-15,58.90761184692383,240.09375,144.9734344482422,2.075352191925049,0.0,0.0,0.0,0.0,446.0501484870911,240093750.0,26.44648864534166,0.0,0.375,-0.9999999977580996,4257961.5,3825047.005796469,4690875.994203532,4.2,8.63,15.05,4.55,0.032,0.05,3.06,482.2,24.2,0.008,4140988.0
2021-01-16,44.537696838378906,194.8258209228516,91.32601165771484,1.4804340600967407,0.0,0.0,0.0,0.0,332.16996347904205,194825820.9228516,21.482820762528316,0.0,0.375,-0.999999996989493,3838141.5,3430873.701575921,4245409.298424079,5.0,8.55,13.98,4.65,0.062,0.054,3.02,466.1,45.1,0.004,3527519.0
2021-01-17,54.20227813720703,227.82118225097656,184.35086059570312,3.351879358291626,0.0,0.0,0.0,0.0,469.7262003421784,227821182.25097656,24.94103365474277,0.0,0.25,-0.9999999978711004,3288505.6666666665,2975776.9316442152,3601234.401689118,4.9,8.59,13.74,4.61,0.046,0.054,2.98,476.1,33.5,0.007,3871708.0
2021-01-18,82.61393737792969,275.2450866699219,231.9353485107422,6.076653003692627,0.0,0.0,0.0,0.0,595.8710255622864,275245086.6699219,29.90760374069214,0.0,0.375,-0.9999999983217844,3831079.1666666665,3551893.307635119,4110265.025698214,4.8,8.66,13.9,4.24,0.034,0.039,2.61,464.6,36.8,0.006,4010250.0
2021-01-19,62.58119583129883,245.9492950439453,198.9400177001953,4.615749835968018,0.0,0.0,0.0,0.0,512.0862584114075,245949295.0439453,26.81483835644192,0.0,0.25,-0.999999998047204,3378966.333333333,2901668.955913151,3856263.710753516,5.2,8.69,14.04,4.48,0.025,0.04,2.61,464.7,21.3,0.006,3502459.0
2021-01-20,83.48483276367188,276.4742126464844,213.8231201171875,5.723274230957031,0.0,0.0,0.0,0.0,579.5054397583008,276474212.6464844,30.08343760172526,0.0,0.375,-0.9999999982743908,4795547.166666667,3742752.994272313,5848341.339061021,5.5,8.73,13.81,4.86,0.025,0.049,2.56,452.4,48.2,0.006,4139487.0
2021-01-21,32.52129364013672,135.77769470214844,100.21101379394533,2.639724016189575,0.0,0.0,0.0,0.0,271.14972615242004,135777694.70214844,14.79310785399543,0.0,0.25,-0.9999999963120008,3634664.8333333335,3298813.100302609,3970516.566364058,6.5,8.79,13.4,4.7,0.025,0.046,2.59,463.7,22.5,0.007,3876405.0
2021-01-22,15.521873474121094,64.1427230834961,18.258617401123047,0.5099237561225891,0.0,0.0,0.0,0.0,98.43313771486282,64142723.083496094,7.070311036374834,0.0,0.375,-0.9999999898408196,2869093.1666666665,2656410.443243635,3081775.890089698,6.9,8.78,13.12,4.14,0.025,0.03,1.96,460.3,12.3,0.006,2857244.0
2021-01-23,6.987784385681152,28.63943099975586,48.21231460571289,1.4590126276016235,0.0,0.0,0.0,0.0,85.29854261875153,48212314.60571289,5.194811330901252,0.0,0.25,-0.9999999882764704,2678835.0,2352409.171755135,3005260.828244865,7.2,8.74,12.44,4.09,0.038,0.028,2.08,458.6,9.9,0.005,2764514.0
2021-01-24,29.38524627685547,119.81437683105467,18.62035751342773,0.5993654131889343,0.0,0.0,0.0,0.0,168.41934603452682,119814376.83105467,13.24611237976286,0.0,0.25,-0.99999999406244,7865079.666666667,-2646212.0348981554,18376371.36823149,7.2,8.71,12.3,4.2,0.042,0.029,2.11,458.3,10.6,0.004,2631576.0
2021-01-25,16.825468063354492,67.86398315429688,42.74609375,1.474609375,0.0,0.0,0.0,0.0,128.91015434265137,67863983.15429688,7.376597086588542,0.0,0.375,-0.9999999922426592,2647948.833333333,2424112.6201159004,2871785.0465507666,7.3,8.69,12.18,4.38,0.049,0.025,2.07,459.3,7.5,0.003,2506970.0
2021-01-26,10.147934913635254,40.5915412902832,18.411109924316406,0.6723954677581787,0.0,0.0,0.0,0.0,69.82298159599304,40591541.2902832,4.435460646947225,0.0,0.375,-0.999999985678068,3859860.5,3539962.870429341,4179758.129570659,,,,,,,,,,,
2021-01-27,60.206199645996094,231.31634521484372,158.29505920410156,6.222792148590088,0.0,0.0,0.0,0.0,456.0403962135315,231316345.21484372,25.010394785139297,0.0,0.375,-0.9999999978072118,2819976.6666666665,2664515.9111052323,2975437.4222281007,7.6,8.62,11.52,4.35,0.059,0.042,2.67,459.6,27.5,0.004,2998222.0
2021-01-28,38.73157501220703,153.30178833007812,175.93162536621094,7.303149700164795,0.0,0.0,0.0,0.0,375.2681384086609,175931625.36621094,18.73649729622735,0.0,0.25,-0.9999999973352388,3108991.0,2592386.6361823725,3625595.363817628,8.3,8.7,11.35,-1.0,0.081,0.035,-1.0,470.1,16.4,0.003,2535843.0
