ndci,ndvi,evi,ndwi,fai,nrfi,b1,b2,b3,b4,b5,b6,b7,date
0.15609756112098694,0.18906250596046448,0.472471684217453,-0.04427001625299454,0.09308066219091415,0.04531722143292427,1038.0,1522.0,692.0,948.0,1663.0,1531.0,1229.0,2021-01-01
0.06746626645326614,0.14866434037685394,0.8858131766319275,-0.017142856493592262,0.0829559862613678,0.014532871544361115,1466.0,1978.0,1244.0,1424.0,2047.0,1933.0,1488.0,2021-01-03
-0.03316840901970863,0.010501750744879246,-0.041164811700582504,-0.0005770340212620795,0.006488940212875605,-0.018139714375138283,2544.0,2598.0,2819.0,2638.0,2601.0,2488.0,1961.0,2021-01-04
0.01784147322177887,0.008931711316108704,-0.34510868787765503,0.018385745584964752,0.012311705388128757,0.006140225566923618,7046.0,7173.0,6716.0,6960.0,6914.0,6450.0,4667.0,2021-01-05
-0.005252697505056858,0.0012154142605140805,-0.010132316499948502,0.0572248212993145,0.020663324743509293,-0.0015723269898444414,6985.0,7002.0,7081.0,7007.0,6244.0,2958.0,1454.0,2021-01-06
-0.03125232085585594,0.0005284215440042317,-0.0030450669582933187,0.046919431537389755,0.016732489690184593,0.00722708273679018,6620.0,6627.0,6946.0,6525.0,6033.0,3733.0,2247.0,2021-01-07
0.14132378995418549,0.15955765545368195,0.4117407202720642,-0.03070320188999176,0.08309391140937805,0.052944086492061615,1064.0,1468.0,720.0,957.0,1561.0,1536.0,1215.0,2021-01-08
0.0013245033333078027,0.09363076090812683,-4.381868362426758,0.0018822264391928911,0.05875880643725395,0.010471204295754433,1544.0,1863.0,1508.0,1512.0,1856.0,1748.0,1279.0,2021-01-09
0.11026615649461746,0.11693290621042252,0.4268719255924225,-0.016319639980793,0.06504270434379578,0.025222551077604294,1382.0,1748.0,1053.0,1314.0,1806.0,1657.0,1307.0,2021-01-10
0.003148614661768079,0.061355046927928925,-1.4551724195480347,-0.006802720949053764,0.03578989580273628,0.0065481760539114475,1614.0,1825.0,1583.0,1593.0,1850.0,1754.0,1451.0,2021-01-11
0.1293310523033142,0.14825724065303802,0.4671306908130646,-0.010365982539951801,0.0856698676943779,0.026323573663830757,1735.0,2339.0,1269.0,1646.0,2388.0,2273.0,1844.0,2021-01-12
0.06307339668273926,0.1463414579629898,0.7854137420654297,-0.09491059184074402,0.04605741426348686,0.027792343869805336,980.0,1316.0,817.0,927.0,1592.0,1429.0,1245.0,2021-01-13
0.0908147394657135,0.14925970137119293,0.7489959597587585,0.019162526354193687,0.09881164133548737,0.0056764427572488785,1063.0,1436.0,876.0,1051.0,1382.0,1303.0,1039.0,2021-01-14
0.08447936922311783,0.12551827728748322,0.568647563457489,-0.027361564338207245,0.06529485434293747,0.02473498322069645,1160.0,1493.0,932.0,1104.0,1577.0,1520.0,1285.0,2021-01-15
-0.02869822457432747,0.02521008439362049,-0.13238771259784698,0.0175752155482769,0.022450940683484077,-0.005359056871384382,3248.0,3416.0,3477.0,3283.0,3298.0,2580.0,1780.0,2021-01-16
0.07502718269824982,0.09331763535737991,0.5186518430709839,-0.019535375759005547,0.04985583573579788,0.018855441361665726,1540.0,1857.0,1276.0,1483.0,1931.0,1831.0,1530.0,2021-01-17
0.052173912525177,0.12816116213798523,0.8503981828689575,-0.024100853130221367,0.06821752339601517,0.02468513883650303,1017.0,1316.0,872.0,968.0,1381.0,1348.0,1123.0,2021-01-18
0.095343679189682,0.11393836885690689,0.45941632986068726,-0.021361151710152626,0.06117209047079086,0.027877992019057274,1567.0,1970.0,1224.0,1482.0,2056.0,2005.0,1606.0,2021-01-19
0.025957973673939705,0.0742049440741539,1.8200000524520874,0.03158444166183472,0.0584762878715992,0.012786203064024448,1703.0,1976.0,1576.0,1660.0,1855.0,1843.0,1532.0,2021-01-20
0.02933426946401596,0.015731081366539,1.3418079614639282,0.026696795597672462,0.019647974520921707,0.007116231601685286,5944.0,6134.0,5526.0,5860.0,5815.0,3933.0,2356.0,2021-01-21
-0.0051665776409208775,0.00047738393186591566,-0.004133512265980244,0.057458214461803436,0.0202502254396677,-5.969792982796207e-05,8375.0,8383.0,8463.0,8376.0,7472.0,5466.0,3483.0,2021-01-22
-0.06313452124595642,-0.016724184155464172,0.04615159332752228,0.06712763011455536,0.011872705072164536,-0.013818556442856789,5745.0,5556.0,6702.0,5906.0,4857.0,3606.0,2200.0,2021-01-23
0.006240466143935919,0.008402222767472267,-0.1291128695011139,0.018617385998368263,0.012052568607032299,0.004185823258012533,7317.0,7441.0,7166.0,7256.0,7169.0,5829.0,3653.0,2021-01-24
-0.00385109125636518,0.011790772899985313,-0.1216525137424469,0.011230623349547386,0.011589235626161098,0.002891101874411106,6244.0,6393.0,6256.0,6208.0,6251.0,5704.0,4488.0,2021-01-25
0.01054047979414463,0.0027888664044439793,-0.05538662150502205,0.042405638843774796,0.016686024144291878,0.005846662912517786,9118.0,9169.0,8824.0,9012.0,8423.0,6713.0,4580.0,2021-01-26
-0.02536427415907383,0.02628571353852749,-0.10318528115749359,0.043882593512535095,0.032545942813158035,-0.02905982919037342,1704.0,1796.0,1900.0,1806.0,1645.0,1480.0,1176.0,2021-01-27
0.021552352234721184,0.013732833787798882,-1.1688311100006104,0.014084506779909134,0.013859289698302746,0.006725663784891367,7110.0,7308.0,6719.0,7015.0,7105.0,6699.0,5053.0,2021-01-28
0.06674208492040634,0.10277032852172852,0.5366308689117432,-0.04599922522902489,0.04420406371355057,0.03133025020360947,1004.0,1234.0,825.0,943.0,1353.0,1362.0,1149.0,2021-01-29
