date,GMT_0000_PAR,GMT_0300_PAR,GMT_0600_PAR,GMT_0900_PAR,GMT_1200_PAR,GMT_1500_PAR,GMT_1800_PAR,GMT_2100_PAR,DAPAR,PDVI,MPAR,APAR,PPDI,PAI
2021-01-01,50.45526123046875,224.82025146484375,190.5612335205078,0.0,0.0,0.0,0.0,0.0,465.8367462158203,224820251.46484375,24.980027940538193,0.0,0.25,-0.9999999978533253
2021-01-02,62.48207092285156,247.1948699951172,180.6522216796875,0.0,0.0,0.0,0.0,0.0,490.32916259765625,247194869.9951172,27.46609666612413,0.0,0.375,-0.9999999979605537
2021-01-03,51.19349670410156,226.64886474609375,178.20372009277344,0.0,0.0,0.0,0.0,0.0,456.04608154296875,226648864.74609375,25.183207194010418,0.0,0.25,-0.9999999978072391
2021-01-04,6.979278087615967,32.16006088256836,16.41515350341797,0.0,0.0,0.0,0.0,0.0,55.554492473602295,32160060.88256836,3.573340098063151,0.0,0.375,-0.9999999819996559
2021-01-05,33.9877815246582,157.05197143554688,86.05683898925781,0.0,0.0,0.0,0.0,0.0,277.0965919494629,157051971.43554688,17.450219048394096,0.0,0.25,-0.9999999963911501
2021-01-06,12.881760597229004,58.79650115966797,45.96879196166992,0.0,0.0,0.0,0.0,0.0,117.6470537185669,58796501.15966797,6.532944573296441,0.0,0.25,-0.9999999914999997
2021-01-07,21.835039138793945,99.26048278808594,145.34048461914062,0.0,0.0,0.0,0.0,0.0,266.4360065460205,145340484.61914062,16.148942735460068,0.0,0.25,-0.9999999962467535
2021-01-08,56.51225662231445,235.8275146484375,194.89308166503906,0.0,0.0,0.0,0.0,0.0,487.232852935791,235827514.6484375,26.20305718315972,0.0,0.25,-0.9999999979475932
2021-01-09,75.64417266845703,264.7682189941406,220.28155517578125,0.1830284744501114,0.0,0.0,0.0,0.0,560.876975312829,264768218.99414062,29.398354502187836,0.0,0.375,-0.9999999982170779
2021-01-10,41.92219161987305,188.71292114257812,157.47047424316406,0.3538511395454407,0.0,0.0,0.0,0.0,388.4594381451607,188712921.14257812,20.92878555589252,0.0,0.25,-0.9999999974257286
2021-01-11,36.119571685791016,161.03468322753906,175.8790283203125,0.6917242407798767,0.0,0.0,0.0,0.0,373.72500747442245,175879028.3203125,19.46525600883696,0.0,0.25,-0.9999999973242358
2021-01-12,57.4594612121582,236.6682891845703,197.34042358398438,1.2023812532424927,0.0,0.0,0.0,0.0,492.6705552339554,236668289.1845703,26.162878659036423,0.0,0.25,-0.9999999979702461
2021-01-13,76.9171142578125,266.5802307128906,223.0418243408203,2.1121747493743896,0.0,0.0,0.0,0.0,568.6513440608978,266580230.71289062,29.385339551501804,0.0,0.375,-0.9999999982414532
2021-01-14,65.90682220458984,269.2371826171875,208.21737670898438,2.196157455444336,0.0,0.0,0.0,0.0,545.557538986206,269237182.6171875,29.671225017971462,0.0,0.25,-0.9999999981670128
2021-01-15,58.11093521118164,236.7054901123047,161.06698608398438,1.8055068254470825,0.0,0.0,0.0,0.0,457.6889182329178,236705490.1123047,26.099998142984177,0.0,0.375,-0.9999999978151098
2021-01-16,43.73719787597656,188.35797119140625,101.12993621826172,1.326492190361023,0.0,0.0,0.0,0.0,334.55159747600555,188357971.19140625,20.78127544456058,0.0,0.375,-0.9999999970109245
2021-01-17,54.822322845458984,227.39793395996094,182.73036193847656,2.7565462589263916,0.0,0.0,0.0,0.0,467.7071650028229,227397933.95996094,24.960154189003838,0.0,0.25,-0.9999999978619101
2021-01-18,82.77803802490234,274.4745178222656,229.967041015625,5.062209129333496,0.0,0.0,0.0,0.0,592.2818059921265,274474517.8222656,29.934700965881348,0.0,0.375,-0.9999999983116146
2021-01-19,62.708656311035156,244.5446014404297,197.33981323242188,3.925952196121216,0.0,0.0,0.0,0.0,508.51902318000793,244544601.4404297,26.73540547158983,0.0,0.25,-0.9999999980335053
2021-01-20,75.20401763916016,263.46697998046875,185.35511779785156,3.9553191661834717,0.0,0.0,0.0,0.0,527.9814345836639,263466979.98046875,28.834628979365032,0.0,0.375,-0.999999998105994
2021-01-21,47.403175354003906,195.7053680419922,118.30162048339844,2.7733347415924072,0.0,0.0,0.0,0.0,364.18349862098694,195705368.0419922,21.436892588933308,0.0,0.375,-0.9999999972541315
2021-01-22,6.34671688079834,25.836576461791992,18.20815086364746,0.45550158619880676,0.0,0.0,0.0,0.0,50.8469457924366,25836576.461791992,2.820119430621465,0.0,0.25,-0.9999999803331358
2021-01-23,5.55907678604126,22.46781349182129,62.856407165527344,1.7245779037475586,0.0,0.0,0.0,0.0,92.60787534713745,62856407.165527344,6.792425473531087,0.0,0.25,-0.9999999892017825
2021-01-24,21.14978790283203,84.98635864257812,19.64830780029297,0.5733665823936462,0.0,0.0,0.0,0.0,126.35782092809677,84986358.64257812,9.379221340020498,0.0,0.375,-0.9999999920859668
2021-01-25,16.603530883789062,66.09654998779297,88.44478607177734,2.82022762298584,0.0,0.0,0.0,0.0,173.96509456634521,88444786.07177734,9.513839827643501,0.0,0.25,-0.9999999942517205
2021-01-26,9.402435302734375,37.127140045166016,18.46234130859375,0.6193149089813232,0.0,0.0,0.0,0.0,65.61123156547546,37127140.045166016,4.056425015131633,0.0,0.375,-0.9999999847587073
2021-01-27,50.97541809082031,200.43203735351562,142.23655700683594,5.207938194274902,0.0,0.0,0.0,0.0,398.8519506454468,200432037.35351562,21.69156657324897,0.0,0.375,-0.9999999974928041
