date,ndci,ndvi,evi,ndwi,fai,nrfi,b1,b2,b3,b4,b5,b6,b7,temperature,pH,oxygen,permanganate,NH,TP,TN,conductivity,turbidity,chla,density
2021-01-27,0.0252615455538034,-0.2284946292638778,0.7699275612831116,0.2116094976663589,-0.1125552654266357,-0.0471722707152366,1828.0,1148.0,1910.0,2009.0,747.0,558.0,362.0,8.6,-1.0,11.18,5.65,0.217,0.081,2.28,456.9,-1.0,0.003,760113.0
2021-01-28,0.008153916336596,-0.0048151174560189,0.0683165788650512,0.0081914402544498,-0.000175953246071,0.002538071013987,5530.0,5477.0,5413.0,5502.0,5388.0,5133.0,4197.0,-1.0,-1.0,-1.0,4.92,0.244,0.052,1.92,-1.0,-1.0,-1.0,-1.0
2021-01-29,,,,,,,,,,,,,,-1.0,-1.0,-1.0,7.66,0.202,0.113,2.52,-1.0,-1.0,-1.0,-1.0
2021-01-30,0.0852136984467506,-0.2387917339801788,51.4383544921875,0.2954545319080353,-0.1062214970588684,-0.0240480955690145,1948.0,1197.0,1723.0,2044.0,651.0,523.0,398.0,-1.0,-1.0,-1.0,4.35,0.216,0.097,2.61,-1.0,-1.0,-1.0,-1.0
2021-01-31,0.0022790909279137,0.002697495277971,-0.0342409908771514,0.0422591641545295,0.0165757685899734,0.0043984474614262,7764.0,7806.0,7661.0,7696.0,7173.0,4890.0,2705.0,-1.0,-1.0,-1.0,3.74,0.061,0.04,1.36,-1.0,-1.0,-1.0,-1.0
2021-02-01,-0.0043956045992672,0.0015032377559691,-0.0139769921079278,0.1135253310203552,0.0391006544232368,0.0016239415854215,8635.0,8661.0,8683.0,8607.0,6895.0,2916.0,1327.0,-1.0,-1.0,-1.0,3.43,0.049,0.036,1.3,-1.0,-1.0,-1.0,-1.0
2021-02-02,0.033808134496212,-0.0684181749820709,0.9464916586875916,0.0588967241346836,-0.026312356814742,-0.0141414143145084,2928.0,2553.0,2815.0,3012.0,2269.0,2147.0,1689.0,-1.0,-1.0,-1.0,3.31,0.097,0.032,1.01,-1.0,-1.0,-1.0,-1.0
2021-02-03,0.0851757898926734,-0.3083846569061279,3.6328125,0.3117699921131134,-0.1666930466890335,-0.0403057672083377,1381.0,730.0,1262.0,1497.0,383.0,324.0,159.0,-1.0,-1.0,-1.0,3.67,0.098,0.047,1.42,-1.0,-1.0,-1.0,-1.0
2021-02-04,0.1112095713615417,-0.3715680241584778,5.800000190734863,0.3021491765975952,-0.2278889715671539,-0.0546677894890308,1124.0,515.0,1003.0,1254.0,276.0,226.0,97.0,10.33,8.37,11.231,3.68,0.044,0.0327,1.183,429.125,15.522,0.00473,1948920.0
2021-02-05,0.0006362132844515,0.0035384809598326,-0.0383246652781963,0.0286935679614543,0.0124429324641823,0.001333417952992,7885.0,7941.0,7854.0,7864.0,7498.0,6225.0,4072.0,10.8,8.374,11.266,3.556,0.0257,0.047,1.358,432.328,34.191,0.00388,2670960.0
2021-02-06,0.0585365854203701,-0.3022035658359527,0.7126948833465576,0.2559017837047577,-0.1694584041833877,-0.1007246375083923,1241.0,665.0,1351.0,1519.0,394.0,347.0,166.0,10.78,8.353,10.866,4.86,0.0604,0.0326,1.075,336.385,7.194,0.00332,1588840.0
2021-02-07,,,,,,,,,,,,,,12.1,8.423,11.12,11.949,0.0614,0.0337,1.276,350.988,7.523,0.0033,1482820.0
2021-02-08,0.0143984220921993,-0.0114874234423041,0.1573094725608825,0.0445793233811855,0.0079710511490702,-0.003512195078656,5107.0,4991.0,4997.0,5143.0,4565.0,3274.0,2494.0,,,,,,,,,,,
2021-02-09,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,-0.0006587615353055,-0.0170896779745817,0.1367081701755523,0.0599397867918014,0.0092911832034587,-0.0047189337201416,6011.0,5809.0,6076.0,6068.0,5152.0,2571.0,1342.0,,,,,,,,,,,
2021-02-11,0.0045387563295662,-0.0116017516702413,0.1320754736661911,0.1610346287488937,0.0442434288561344,0.0014063048874959,8545.0,8349.0,8444.0,8521.0,6033.0,2065.0,1033.0,,,,,,,,,,,
2021-02-12,-0.0036759299691766,-0.0008929900359362,0.007262164261192,0.0402107387781143,0.0135110793635249,-0.0037774979136884,6725.0,6713.0,6826.0,6776.0,6194.0,4994.0,2653.0,,,,,,,,,,,
2021-02-13,0.0222399365156888,-0.0033029254991561,0.0757849141955375,0.0208618603646755,0.0052554081194102,-0.0025799390859901,6379.0,6337.0,6133.0,6412.0,6078.0,5950.0,4755.0,,,,,,,,,,,
2021-02-14,0.0110806934535503,-0.0181618053466081,0.1232032850384712,-0.0108123095706105,-0.0155310668051242,-0.0234890468418598,3700.0,3568.0,3793.0,3878.0,3646.0,3681.0,3215.0,,,,,,,,,,,
2021-02-15,-0.027004862204194,0.0043797348625957,-0.0272339172661304,0.0556108467280864,0.0222229193896055,0.0063412301242351,8411.0,8485.0,8766.0,8305.0,7591.0,6892.0,5287.0,,,,,,,,,,,
2021-02-16,0.0413994155824184,-0.1529979258775711,1.0451977252960205,0.1406032443046569,-0.0665814876556396,-0.032668400555849,1673.0,1229.0,1644.0,1786.0,926.0,945.0,633.0,,,,,,,,,,,
2021-02-17,-0.010105513036251,0.0089358249679207,-0.0778535604476928,0.0184122249484062,0.0123237669467926,0.0036646474618464,6710.0,6831.0,6797.0,6661.0,6584.0,6544.0,5323.0,,,,,,,,,,,
2021-02-18,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-19,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-20,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-21,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-22,0.0636969208717346,-0.0024193548597395,-0.0573065914213657,0.0089722676202654,0.0016480585327371,-0.0136877605691552,2486.0,2474.0,2249.0,2555.0,2430.0,1609.0,1003.0,,,,,,,,,,,
2021-02-23,0.0798084586858749,-0.2634122669696808,32.05882263183594,0.2300242185592651,-0.1392159909009933,-0.0172932334244251,1307.0,762.0,1153.0,1353.0,477.0,380.0,237.0,,,,,,,,,,,
2021-02-24,0.0475330911576747,-0.2963988780975342,1.621914267539978,0.3624521195888519,-0.148259699344635,-0.0304823908954858,1638.0,889.0,1583.0,1741.0,416.0,411.0,188.0,,,,,,,,,,,
2021-02-25,0.0017198752611875,-0.0098977945744991,0.1114746183156967,0.2082184553146362,0.0588525459170341,0.0036351971793919,9387.0,9203.0,9287.0,9319.0,6031.0,1941.0,930.0,,,,,,,,,,,
2021-02-26,-0.0166045762598514,-0.006880734115839,0.0436016321182251,0.1413329988718032,0.0417765006422996,-0.0010835409630089,9219.0,9093.0,9551.0,9239.0,6841.0,3094.0,1739.0,,,,,,,,,,,
2021-02-27,0.0005784645909443,-0.0069209993816912,0.0557292364537715,0.0633529126644134,0.0172583609819412,-0.0074049420654773,5965.0,5883.0,6047.0,6054.0,5182.0,2805.0,1508.0,,,,,,,,,,,
2021-02-28,-0.0004485166864469,0.0049649905413389,-0.0518410205841064,0.0457706823945045,0.0192694049328565,0.0010245901066809,7816.0,7894.0,7807.0,7800.0,7203.0,5910.0,3413.0,,,,,,,,,,,
2021-03-01,0.0103894593194127,0.0024994318373501,-0.0452209673821926,0.0250333976000547,0.0104890875518321,0.0043468312360346,8780.0,8824.0,8525.0,8704.0,8393.0,6697.0,4372.0,,,,,,,,,,,
2021-03-02,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-03,-0.037413902580738,0.0035691109951585,-0.0165078416466712,0.040013451129198,0.0163789484649896,-0.0005695224390365,6142.0,6186.0,6627.0,6149.0,5710.0,4313.0,3034.0,,,,,,,,,,,
2021-03-04,,,,,,,,,,,,,,,,,,,,,,,,
2021-03-05,-0.0268120747059583,-0.0078443679958581,0.0399539731442928,0.0938148573040962,0.026467552408576,-0.0028560785576701,8030.0,7905.0,8521.0,8076.0,6549.0,3208.0,1868.0,,,,,,,,,,,
2021-03-06,0.0116107733920216,0.0100688319653272,-0.2454923689365387,0.0484175719320774,0.0235341284424066,0.0068853786215186,8701.0,8878.0,8385.0,8582.0,8058.0,6170.0,3850.0,12.85,8.099,10.715,3.318,0.0357,0.0393,0.943,433.455,16.969,0.00372,1246980.0
2021-03-07,-0.0149450022727251,0.0053275213576853,-0.0362229347229003,0.0689411014318466,0.0273160897195339,-0.0014586119214072,8215.0,8303.0,8489.0,8239.0,7232.0,5956.0,4524.0,12.2,8.057,10.726,4.531,0.0539,0.0984,0.497,506.788,65.958,0.00384,2273840.0
2021-03-08,0.0141561599448323,-0.0140781616792082,0.1533742398023605,0.0030938466079533,-0.0079701328650116,-0.0091339275240898,4502.0,4377.0,4457.0,4585.0,4350.0,4414.0,3556.0,11.53,8.109,10.927,3.72,0.0391,0.0542,0.289,427.268,37.874,0.00382,1815770.0
2021-03-09,-0.0030806402210146,0.0055208834819495,-0.0550568513572216,0.0474463962018489,0.0202078483998775,0.0020558713003993,8286.0,8378.0,8303.0,8252.0,7619.0,6117.0,3675.0,11.72,8.117,10.944,3.489,0.0452,0.0526,0.695,446.608,32.934,0.00327,1696880.0
2021-03-10,,,,,,,,,,,,,,11.86,8.174,10.883,3.072,0.0483,0.0427,1.547,483.46,12.949,0.00293,1638990.0
2021-03-11,-0.0015844396548345,0.0003279763914179,-0.0031712474301457,0.18831168115139,0.0606769360601902,0.0003829112101811,9144.0,9150.0,9166.0,9137.0,6250.0,2208.0,1146.0,13.07,8.149,10.897,3.009,0.041,0.0653,1.122,500.005,31.958,0.00235,1555320.0
2021-03-12,-0.0417719632387161,-0.1288905888795852,0.2694825828075409,0.0851569920778274,-0.062371652573347,-0.0432108752429485,2956.0,2281.0,3504.0,3223.0,1923.0,1831.0,1454.0,12.63,8.107,10.733,3.328,0.053,0.067,1.08,495.494,35.796,0.00303,1808010.0
2021-03-13,,,,,,,,,,,,,,13.18,8.168,10.607,3.252,0.0498,0.0523,1.283,482.052,19.283,0.0033,1022580.0
2021-03-14,0.0160513650625944,-0.2525636255741119,0.570619523525238,0.2795838713645935,-0.1211021468043327,-0.0704622343182563,1649.0,984.0,1839.0,1899.0,554.0,395.0,186.0,13.77,8.11,10.732,3.18,0.0486,0.0515,1.455,486.537,19.297,0.00267,557613.0
2021-03-15,0.0512532740831375,-0.2690721750259399,0.9229137301445008,0.2287694960832595,-0.144393652677536,-0.0660091042518615,1231.0,709.0,1268.0,1405.0,445.0,388.0,179.0,14.63,8.225,10.848,3.456,0.025,0.0577,1.096,494.934,40.923,0.00427,1344780.0
2021-03-16,-0.0133407451212406,0.0028441410977393,-0.0179694518446922,0.0452052764594554,0.0176786594092845,-0.006235827691853,7012.0,7052.0,7292.0,7100.0,6442.0,4824.0,2766.0,15.35,8.352,10.661,2.826,0.025,0.0335,1.047,444.004,12.722,0.00905,2019560.0
2021-03-17,0.0136215388774871,0.0077480939216911,-0.1853499412536621,0.0295738074928522,0.0154906380921602,0.0049595078453421,8004.0,8129.0,7712.0,7925.0,7662.0,6252.0,4720.0,15.3,8.231,10.079,3.34,0.025,0.0467,0.545,429.176,32.296,0.00612,1581980.0
2021-03-18,-0.0086913332343101,-0.0262260679155588,0.1527650505304336,0.0238521993160247,-0.0087889395654201,-0.0099936751648783,3913.0,3713.0,4062.0,3992.0,3540.0,3229.0,2045.0,14.49,8.231,10.372,3.142,0.025,0.0372,1.456,482.49,14.578,0.00683,954655.0
2021-03-19,-0.0328261591494083,0.0106361890211701,-0.0555785708129406,0.0605934560298919,0.0280527304857969,0.0012703081592917,7488.0,7649.0,7976.0,7469.0,6775.0,5655.0,3496.0,14.53,8.235,9.964,3.102,0.025,0.0333,1.202,482.969,21.641,0.01205,1167320.0
2021-03-20,0.0094885444268584,0.0131879141554236,-0.3129952549934387,0.0586662031710147,0.0290878098458051,0.0081291571259498,8867.0,9104.0,8560.0,8724.0,8095.0,6118.0,3565.0,14.52,8.179,9.623,3.153,0.025,0.0339,1.422,465.274,14.208,0.01594,1936450.0
2021-03-21,-0.0204847306013107,-0.0032882159575819,0.0209878962486982,0.0373259037733078,0.0109477639198303,0.0025215863715857,6560.0,6517.0,6800.0,6527.0,6048.0,4309.0,2853.0,14.03,8.163,9.651,4.071,0.025,0.0599,0.788,463.999,47.986,0.01322,1873080.0
2021-03-22,,,,,,,,,,,,,,13.89,8.184,9.795,4.162,0.025,0.0705,0.679,470.681,61.448,0.01159,2553220.0
2021-03-23,0.0817236229777336,-0.2329279631376266,2.3012938499450684,0.152494728565216,-0.1280493289232254,-0.0497476570308208,1318.0,820.0,1236.0,1456.0,603.0,525.0,306.0,14.28,8.224,10.068,3.268,0.025,0.0509,1.004,474.49,33.405,0.01224,1156560.0
2021-03-24,0.0875817015767097,-0.3040540516376495,0.7274490594863892,0.2763320803642273,-0.1679767817258834,-0.1278807073831558,965.0,515.0,1047.0,1248.0,292.0,250.0,102.0,15.8,8.102,9.343,12.789,0.0391,0.0406,0.479,,20.15,0.01447,1681350.0
2021-03-25,0.1047096475958824,-0.2489451467990875,0.598175048828125,0.1697699874639511,-0.137966588139534,-0.1526717543601989,888.0,534.0,979.0,1208.0,379.0,348.0,217.0,16.17,8.379,10.469,10.709,0.025,0.0413,1.219,,15.196,0.02017,1773460.0
2021-03-26,,,,,,,,,,,,,,16.6,8.28,10.137,12.4,0.025,0.053,1.124,,24.747,0.0148,1685330.0
2021-03-27,0.0120066246017813,0.0165679678320884,-0.363503634929657,0.0061244647949934,0.0127869443967938,0.0038714935071766,7390.0,7639.0,7159.0,7333.0,7546.0,6747.0,4542.0,17.68,8.195,9.225,19.735,0.025,0.0979,,,63.36,0.01449,2624120.0
2021-03-28,0.0387152284383773,-0.2045277059078216,0.5715532302856445,0.1759953796863556,-0.0997591689229011,-0.079904593527317,1543.0,1019.0,1676.0,1811.0,714.0,549.0,415.0,17.8,8.231,8.871,3.313,0.025,0.0426,1.441,454.369,31.93,0.01084,1826690.0
2021-03-29,0.0968040749430656,-0.231638416647911,0.5340279936790466,0.1956043988466262,-0.1183216273784637,-0.1517509669065475,872.0,544.0,975.0,1184.0,366.0,295.0,183.0,,,,,,,,,,,
