ndci,ndvi,evi,ndwi,fai,nrfi,b1,b2,b3,b4,b5,b6,b7,date
0.2683473527431488,-0.41853034496307373,-0.7381113171577454,0.49180328845977783,-0.2550271451473236,-0.009812667034566402,1110.0,455.0,653.0,1132.0,155.0,84.0,62.0,2021-01-01
0.10467705875635147,-0.42144373059272766,4.26881742477417,0.43989431858062744,-0.262845516204834,-0.052706047892570496,1339.0,545.0,1206.0,1488.0,212.0,208.0,103.0,2021-01-02
0.12814371287822723,-0.3595064580440521,4.631503105163574,0.38256657123565674,-0.20628394186496735,-0.07657142728567123,1212.0,571.0,1092.0,1413.0,255.0,278.0,130.0,2021-01-03
0.00016404199413955212,-0.0038597355596721172,0.03950243815779686,0.012182910926640034,0.0018513292307034135,0.0012286019045859575,6112.0,6065.0,6095.0,6097.0,5919.0,5171.0,3537.0,2021-01-04
0.022522181272506714,0.010015967302024364,-0.752453625202179,0.016211479902267456,0.01223555114120245,0.005751363933086395,6820.0,6958.0,6445.0,6742.0,6736.0,6173.0,4642.0,2021-01-05
0.0008625647169537842,0.006440653931349516,-0.07844827324151993,0.05607129633426666,0.023744598031044006,0.004076961427927017,7019.0,7110.0,6950.0,6962.0,6355.0,3259.0,1665.0,2021-01-06
0.009550240822136402,0.0005635616835206747,-0.008555365726351738,0.03869619593024254,0.013951767235994339,0.0018561859615147114,6207.0,6214.0,6067.0,6184.0,5751.0,3521.0,2210.0,2021-01-07
0.08948453515768051,-0.41156068444252014,4.009008884429932,0.40220385789871216,-0.2563358247280121,-0.0393391028046608,1221.0,509.0,1104.0,1321.0,217.0,185.0,119.0,2021-01-09
0.1158854141831398,-0.2712854743003845,9.39306354522705,0.18372881412506104,-0.15437686443328857,-0.0590052530169487,1523.0,873.0,1358.0,1714.0,602.0,505.0,368.0,2021-01-10
0.025634825229644775,-0.02128700725734234,0.3710021376609802,0.0006253908504731953,-0.01351729966700077,-0.007961972616612911,4174.0,4000.0,4029.0,4241.0,3995.0,4002.0,3723.0,2021-01-11
0.13979238271713257,-0.24011652171611786,-2.714016914367676,0.14124999940395355,-0.13631221652030945,-0.05004781484603882,1490.0,913.0,1243.0,1647.0,687.0,591.0,463.0,2021-01-12
0.20903301239013672,-0.49295774102211,-2.5190515518188477,0.4963325262069702,-0.33477410674095154,-0.07352185249328613,901.0,306.0,683.0,1044.0,103.0,109.0,33.0,2021-01-13
0.030197445303201675,-0.3092019259929657,0.6502200961112976,0.12420155853033066,-0.19799788296222687,-0.0833587795495987,1501.0,792.0,1670.0,1774.0,617.0,462.0,221.0,2021-01-14
0.1607142835855484,-0.4069952368736267,4.149108409881592,0.283993124961853,-0.2646678686141968,-0.11055276542901993,885.0,373.0,799.0,1105.0,208.0,210.0,114.0,2021-01-15
0.020742204040288925,-0.02262837253510952,0.2591361999511719,0.04822650924324989,0.0017250486416742206,-0.012881545349955559,3525.0,3369.0,3470.0,3617.0,3059.0,2289.0,1429.0,2021-01-16
0.1303616464138031,-0.31111112236976624,1.5291261672973633,0.21834060549736023,-0.1834922879934311,-0.11720698326826096,1062.0,558.0,1034.0,1344.0,358.0,340.0,184.0,2021-01-17
0.10479573905467987,-0.46433770656585693,1.3809523582458496,0.3965844511985779,-0.311740905046463,-0.10577777773141861,1006.0,368.0,1008.0,1244.0,159.0,175.0,62.0,2021-01-18
0.11620157957077026,-0.39584729075431824,1.1786996126174927,-0.03322615101933479,-0.3016350269317627,-0.12510494887828827,1042.0,451.0,1061.0,1340.0,482.0,249.0,152.0,2021-01-19
0.12072893232107162,-0.4386666715145111,4.816983699798584,0.38259440660476685,-0.2861621081829071,-0.0653962790966034,1079.0,421.0,965.0,1230.0,188.0,150.0,108.0,2021-01-20
0.022981053218245506,0.002478997455909848,-0.7531380653381348,0.007683256175369024,0.004344579763710499,0.00997002050280571,7243.0,7279.0,6781.0,7100.0,7168.0,6280.0,4784.0,2021-01-21
-0.0009920635493472219,-0.003016839502379298,0.03304891288280487,0.06879924982786179,0.021673934534192085,0.00439415592700243,9143.0,9088.0,9081.0,9063.0,7918.0,5966.0,4096.0,2021-01-22
-0.011233284138143063,0.012516895309090614,-0.11153000593185425,0.035954784601926804,0.020823530852794647,0.005023923236876726,8402.0,8615.0,8507.0,8318.0,8017.0,7796.0,6137.0,2021-01-23
0.005998452194035053,-0.002406854648143053,0.029627874493598938,-0.0005787037080153823,-0.0017501055262982845,0.0006727534928359091,5206.0,5181.0,5137.0,5199.0,5187.0,4764.0,3716.0,2021-01-24
0.008322324603796005,0.0015612802235409617,-0.02344207838177681,0.03453836962580681,0.013177046552300453,0.0026785130612552166,7674.0,7698.0,7507.0,7633.0,7184.0,6345.0,4448.0,2021-01-25
0.010028078220784664,0.0023715414572507143,-0.036157023161649704,0.0545324943959713,0.020526984706521034,0.00119000393897295,8834.0,8876.0,8638.0,8813.0,7958.0,6866.0,5384.0,2021-01-26
0.03083936683833599,-0.2516377568244934,0.5755332112312317,0.19950586557388306,-0.13456879556179047,-0.08403835445642471,1624.0,971.0,1807.0,1922.0,648.0,491.0,375.0,2021-01-27
0.026143275201320648,0.007480550557374954,0.8291873931884766,0.003801147686317563,0.00615410041064024,0.010510281659662724,6634.0,6734.0,6165.0,6496.0,6683.0,6464.0,5226.0,2021-01-28
0.08624453842639923,-0.22546419501304626,5.704698085784912,0.2661246657371521,-0.0997496023774147,-0.036998435854911804,1848.0,1168.0,1674.0,1990.0,677.0,617.0,409.0,2021-01-30
