ndci,ndvi,evi,ndwi,fai,nrfi,b1,b2,b3,b4,b5,b6,b7,density_mean,density_lower,density_upper,date
0.0962586253881454,-0.4272493720054626,4.679054260253906,0.4486345946788788,-0.268085303734164,-0.041767343878746,1388.0,557.0,1244.0,1509.0,212.0,207.0,94.0,2466880.333333333,2194850.5194516205,2738910.1472150465,2021-01-02
0.098412699997425,-0.3536191880702972,25.56666755676269,0.4468524158000946,-0.19304864305372166,-0.0294214878231287,1468.0,701.0,1278.0,1557.0,268.0,290.0,134.0,2329588.333333333,2152933.114731741,2506243.551934926,2021-01-03
-0.035140722990036,-0.064041294157505,0.1590542197227478,-0.0373574532568454,-0.05461614225931918,-0.0431493893265724,2783.0,2448.0,3255.0,3034.0,2638.0,2312.0,1813.0,2112371.833333333,1932278.149344465,2292465.5173222017,2021-01-04
0.0105824517086148,-0.0049220672808587,0.087642416357994,-0.0001648532779654,-0.0032162911610827665,0.0050045121461153,6125.0,6065.0,5937.0,6064.0,6067.0,6039.0,4750.0,2863050.6666666665,2491680.2504594945,3234421.0828738385,2021-01-05
0.004524887073785,0.0039123143069446,-0.0492803491652011,0.0493314303457737,0.019788007519406813,0.001748688519001,8020.0,8083.0,7920.0,7992.0,7323.0,3404.0,1614.0,2690222.0,2441698.882888178,2938745.117111822,2021-01-06
-0.0359617285430431,0.0038100075908005,-0.0191554576158523,0.0343744531273841,0.014592702081258952,0.0033256588503718,5883.0,5928.0,6280.0,5844.0,5534.0,3624.0,2306.0,4251985.333333333,3722108.522796188,4781862.143870479,2021-01-07
0.1574109494686126,-0.2886792421340942,-2.182596206665039,0.2651006579399109,-0.15576472890682044,-0.0503997206687927,1366.0,754.0,1100.0,1511.0,438.0,431.0,261.0,2267453.333333333,2005351.0488078275,2529555.61785884,2021-01-10
0.0540404058992862,-0.1705543845891952,1.2966375350952148,0.0474368780851364,-0.1034447081769237,-0.0385668091475963,1932.0,1369.0,1873.0,2087.0,1245.0,1089.0,759.0,2167271.0,1405847.8143098466,2928694.1856901534,2021-01-11
0.1656352430582046,-0.283643901348114,-1.0900700092315674,0.2269503474235534,-0.15755142795176189,-0.016185337677598,1550.0,865.0,1146.0,1601.0,545.0,470.0,365.0,3511082.833333333,3025290.8045484964,3996874.8621181706,2021-01-12
0.134989932179451,-0.3672922253608703,-8.973798751831055,0.3258427083492279,-0.22077633805943225,-0.0496894419193267,1530.0,708.0,1288.0,1690.0,360.0,316.0,222.0,3438946.1666666665,2971145.777496488,3906746.555836845,2021-01-14
-0.0137515626847743,-0.014513274654746,0.0883874669671058,0.0480612367391586,0.007113209241112427,-0.0046307016164064,4299.0,4176.0,4460.0,4339.0,3793.0,2737.0,1702.0,3838141.5,3430873.701575921,4245409.298424079,2021-01-16
0.1210287436842918,-0.3363363444805145,40.9756088256836,0.2474129796028137,-0.2020288858321871,-0.0521831735968589,1335.0,663.0,1162.0,1482.0,400.0,319.0,214.0,3288505.6666666665,2975776.9316442152,3601234.401689118,2021-01-17
0.1311672627925872,-0.3713980913162231,-9.802817344665527,0.3858823478221893,-0.21764181923307888,-0.046382188796997,1285.0,589.0,1083.0,1410.0,261.0,247.0,58.0,3378966.333333333,2901668.955913151,3856263.710753516,2021-01-19
0.1512105911970138,-0.3585313260555267,-1.4121650457382202,0.5570117831230164,-0.1864830462634107,-0.0007942811935208,1258.0,594.0,929.0,1260.0,169.0,159.0,44.0,4795547.166666667,3742752.994272313,5848341.339061021,2021-01-20
0.0261205285787582,0.0054319859482347,0.545976996421814,0.0284243766218423,0.013582172389997904,0.0111614931374788,8697.0,8792.0,8072.0,8505.0,8306.0,6653.0,4123.0,3634664.8333333335,3298813.100302609,3970516.566364058,2021-01-21
-0.0131587916985154,-0.0083585027605295,0.0531534738838672,0.0924707874655723,0.02568933452619646,-0.0040929587557911,7178.0,7059.0,7430.0,7237.0,5864.0,3892.0,2350.0,2869093.1666666665,2656410.443243635,3081775.890089698,2021-01-22
-0.0232750475406646,0.0068957316689193,-0.0455294772982597,0.0338134765625,0.016414132500309125,0.0051744887605309,8353.0,8469.0,8661.0,8267.0,7915.0,7574.0,5928.0,2678835.0,2352409.171755135,3005260.828244865,2021-01-23
0.0008305647643283,-0.0064557096920907,0.0532286204397678,0.004493901040405,-0.0025451272143972715,-0.0067885117605328,4755.0,4694.0,4812.0,4820.0,4652.0,4103.0,2913.0,7865079.666666667,-2646212.0348981554,18376371.36823149,2021-01-24
-0.0037296037189662,0.0037666230928152,-0.0403957143425941,0.006784887984395,0.004850097820631071,0.005352571606636,6480.0,6529.0,6459.0,6411.0,6441.0,5941.0,4713.0,2647948.833333333,2424112.6201159004,2871785.0465507666,2021-01-25
0.0076700188219547,-0.0023032412864267,0.033166155219078,0.0625822693109512,0.020100730023823773,0.0029793693684041,8921.0,8880.0,8733.0,8868.0,7834.0,6675.0,4977.0,3859860.5,3539962.870429341,4179758.129570659,2021-01-26
-0.0297185592353343,-0.1187947615981102,0.2832744419574737,0.0584396310150623,-0.062322912392455514,-0.042283296585083,2265.0,1784.0,2616.0,2465.0,1587.0,1532.0,1196.0,2819976.6666666665,2664515.9111052323,2975437.4222281007,2021-01-27
0.0449772477149963,0.0083367060869932,0.125091090798378,0.0319748185575008,0.016712746152167543,0.0128130940720438,6126.0,6229.0,5457.0,5971.0,5843.0,5851.0,4686.0,3108991.0,2592386.6361823725,3625595.363817628,2021-01-28
