date,GMT_0000_PAR,GMT_0300_PAR,GMT_0600_PAR,GMT_0900_PAR,GMT_1200_PAR,GMT_1500_PAR,GMT_1800_PAR,GMT_2100_PAR,DAPAR,PDVI,MPAR,APAR,PPDI,PAI
2021-01-01,53.98674392700195,230.5218505859375,194.73023986816406,0.0,0.0,0.0,0.0,0.0,479.2388343811035,230521850.5859375,25.613538953993057,0.0,0.25,-0.9999999979133578
2021-01-02,66.36412811279297,252.82643127441406,150.49264526367188,0.0,0.0,0.0,0.0,0.0,469.6832046508789,252826431.27441406,28.09182569715712,0.0,0.375,-0.9999999978709053
2021-01-03,51.42351150512695,225.75811767578125,185.16217041015625,0.0,0.0,0.0,0.0,0.0,462.34379959106445,225758117.67578125,25.08423529730903,0.0,0.25,-0.9999999978371074
2021-01-04,29.774677276611328,135.56375122070312,19.903318405151367,0.0,0.0,0.0,0.0,0.0,185.24174690246582,135563751.22070312,15.06263902452257,0.0,0.25,-0.9999999946016489
2021-01-05,28.458890914916992,128.8302001953125,44.29155731201172,0.0,0.0,0.0,0.0,0.0,201.5806484222412,128830200.1953125,14.314466688368055,0.0,0.375,-0.9999999950392063
2021-01-06,10.771650314331055,48.336299896240234,15.79710865020752,0.0,0.0,0.0,0.0,0.0,74.90505886077881,48336299.896240234,5.370699988471137,0.0,0.375,-0.9999999866497671
2021-01-07,19.41948890686035,86.82173919677734,120.73522186279297,0.0015150499530136585,0.0,0.0,0.0,0.0,226.97796501638368,120735221.86279297,13.414856312537772,0.0,0.25,-0.999999995594286
2021-01-08,54.54862594604492,230.4290008544922,191.61227416992188,0.17355035245418549,0.0,0.0,0.0,0.0,476.76345132291317,230429000.8544922,25.58393894467089,0.0,0.25,-0.9999999979025238
2021-01-09,69.32511901855469,256.1507873535156,221.2138671875,0.6758042573928833,0.0,0.0,0.0,0.0,547.3655778169632,256150787.35351562,28.386109232902527,0.0,0.375,-0.9999999981730674
2021-01-10,52.46672439575195,224.5139617919922,173.84864807128906,0.6873371005058289,0.0,0.0,0.0,0.0,451.51667135953903,224513961.7919922,24.869624965720707,0.0,0.25,-0.9999999977852424
2021-01-11,53.40833282470703,225.9793243408203,131.04864501953125,0.7379457354545593,0.0,0.0,0.0,0.0,411.17424792051315,225979324.3408203,25.026819845040638,0.0,0.375,-0.9999999975679411
2021-01-12,57.97444534301758,236.52113342285156,190.75823974609375,1.4443289041519165,0.0,0.0,0.0,0.0,486.6981474161148,236521133.42285156,26.119644946522182,0.0,0.25,-0.9999999979453384
2021-01-13,76.22310638427734,265.7517395019531,224.10504150390625,2.565915584564209,0.0,0.0,0.0,0.0,568.6458029747009,265751739.50195312,29.242869324154324,0.0,0.375,-0.999999998241436
2021-01-14,67.86964416503906,272.2432556152344,201.69435119628906,2.3852927684783936,0.0,0.0,0.0,0.0,544.1925437450409,272243255.6152344,29.984218094084,0.0,0.25,-0.9999999981624151
2021-01-15,56.74259567260742,232.3090057373047,174.31300354003906,2.207773208618164,0.0,0.0,0.0,0.0,465.57237815856934,232309005.7373047,25.566803614298504,0.0,0.25,-0.9999999978521062
2021-01-16,41.73378372192383,177.20993041992188,73.59319305419922,1.0742088556289673,0.0,0.0,0.0,0.0,293.6111160516739,177209930.41992188,19.57063572936588,0.0,0.375,-0.9999999965941344
2021-01-17,54.32650375366211,223.83961486816406,181.16505432128906,2.9874722957611084,0.0,0.0,0.0,0.0,462.31864523887634,223839614.86816406,24.539126952489216,0.0,0.25,-0.9999999978369897
2021-01-18,84.15438079833984,275.99200439453125,229.8664093017578,5.421535491943359,0.0,0.0,0.0,0.0,595.4343299865723,275992004.39453125,30.063385433620876,0.0,0.375,-0.9999999983205536
2021-01-19,62.746829986572266,243.57574462890625,189.076904296875,3.9494407176971436,0.0,0.0,0.0,0.0,499.34891963005066,243575744.62890625,26.625144879023235,0.0,0.375,-0.9999999979973923
2021-01-20,66.97393798828125,250.82408142089844,187.6579132080078,4.265758514404297,0.0,0.0,0.0,0.0,509.7216911315918,250824081.42089844,27.395369211832683,0.0,0.375,-0.9999999980381451
2021-01-21,43.1764030456543,176.09657287597656,61.80957794189453,1.5144723653793335,0.0,0.0,0.0,0.0,282.5970262289047,176096572.87597656,19.398011167844135,0.0,0.375,-0.9999999964613924
2021-01-22,7.558680534362793,30.429325103759766,18.45281982421875,0.4825500249862671,0.0,0.0,0.0,0.0,56.923375487327576,30429325.103759766,3.3274194531970553,0.0,0.375,-0.999999982432525
2021-01-23,11.4457368850708,45.796661376953125,52.05977249145508,1.4847397804260254,0.0,0.0,0.0,0.0,110.78691053390503,52059772.49145508,5.619448079003228,0.0,0.25,-0.999999990973663
2021-01-24,15.978828430175781,63.44367980957031,18.326066970825195,0.5532727241516113,0.0,0.0,0.0,0.0,98.3018479347229,63443679.80957031,6.987823009490967,0.0,0.375,-0.9999999898272514
2021-01-25,26.496231079101562,104.49285125732422,65.33126831054688,2.1330835819244385,0.0,0.0,0.0,0.0,198.4534342288971,104492851.25732422,11.373307519488865,0.0,0.375,-0.9999999949610345
2021-01-26,10.216277122497559,39.928184509277344,18.735620498657227,0.6454228758811951,0.0,0.0,0.0,0.0,69.52550500631332,39928184.509277344,4.364751292599572,0.0,0.375,-0.9999999856167894
2021-01-27,69.55433654785156,249.1826934814453,141.69366455078125,5.277827262878418,0.0,0.0,0.0,0.0,465.70852184295654,249182693.4814453,27.100540690951878,0.0,0.375,-0.9999999978527342
