date,ndci,ndvi,evi,ndwi,b1,b2,b5,density_mean,density_lower,density_upper
2024-01-01,0.06418800354003906,-0.3199152648448944,0.8006362915039062,0.27507448196411133,1246.0,642.0,365.0,15616666.666666666,15478845.849016437,15754487.484316895
2024-01-02,-0.0012799999676644802,0.003440187545493245,-0.048266783356666565,0.029520295560359955,6373.0,6417.0,6049.0,15700000.0,15517533.930094752,15882466.069905248
2024-01-03,0.05089408531785011,-0.03497033193707466,15.219779968261719,0.03213610500097275,4099.0,3822.0,3584.0,15383333.333333334,14970904.538132137,15795762.128534531
2024-01-04,0.020237265154719353,0.00022426553186960518,-0.01312335953116417,0.01768396981060505,4458.0,4460.0,4305.0,15283333.333333334,14999678.300277727,15566988.366388941
2024-01-05,0.03030394110828638,-0.11486626263649669,0.24438132531940937,0.16246870998293161,2869.5,2631.0,2365.0,15991666.666666668,15341245.271554649,16642088.061778683
2024-01-06,0.04037061706185341,-0.22995679080486298,0.5018860101699829,0.3072534501552582,1281.0,802.0,425.0,16700000.0,15682812.242831573,17717187.757168427
2024-01-07,-0.006456241011619568,-0.16947565972805023,0.4226996600627899,0.2572643458843231,2498.0,1774.0,1048.0,16450000.0,15927129.206527399,16972870.7934726
2024-01-08,-0.012234654277563095,-0.023157425224781036,0.11976047605276108,0.02667914889752865,4595.0,4387.0,4159.0,18200000.0,17662040.39804709,18737959.60195291
2024-01-09,0.020859407261013985,-0.1782151460647583,0.5568660497665405,0.22262334823608398,2185.0,1524.0,969.0,18400000.0,17093986.830081716,19706013.169918284
2024-01-10,-0.0003294892958365381,-0.14905379712581635,0.3846575915813446,0.23824258148670197,2702.0,2001.0,1231.0,17700000.0,17485292.757457975,17914707.242542025
2024-01-11,0.0020953709463356063,-0.17267999425530434,0.3913425952196121,0.24675225839018822,2346.25,1695.25,1034.5,17520833.333333332,17181141.318787705,17860525.34787896
2024-01-12,0.004520231188507751,-0.19630619138479233,0.39802759885787964,0.25526193529367447,1990.5,1389.5,838.0,17341666.666666664,16876989.880117435,17806343.453215897
2024-01-13,0.006945091430679895,-0.21993238851428032,0.40471260249614716,0.2637716121971607,1634.75,1083.75,641.5,17162500.0,16572838.441447167,17752161.55855283
2024-01-14,0.00936995167285204,-0.2435585856437683,0.4113976061344147,0.272281289100647,1279.0,778.0,445.0,16983333.333333332,16268687.002776897,17697979.663889766
2024-01-15,0.036216892922918006,-0.24243563413619995,1.3413148919741311,0.3045459787050883,1332.0,812.3333333333334,432.0,17438888.888888888,16702900.144175021,18174877.633602753
2024-01-16,0.06306383417298397,-0.2413126826286316,2.2712321778138476,0.3368106683095296,1385.0,846.6666666666666,419.0,17894444.444444444,17137113.285573144,18651775.603315745
2024-01-17,0.08991077542304993,-0.24018973112106323,3.2011494636535645,0.36907535791397095,1438.0,881.0,406.0,18350000.0,17571326.426971268,19128673.573028732
2024-01-18,0.008885298855602741,-0.000577433907892555,0.006616382393985987,0.13287079334259033,8664.0,8654.0,6624.0,17266666.666666668,16973029.853957877,17560303.47937546
2024-01-19,-0.02305382862687111,-0.010112052783370018,0.06549599766731262,0.09037268906831741,9240.0,9055.0,7554.0,17116666.666666668,16871775.57976385,17361557.753569487
2024-01-20,0.012259194627404213,0.0006400186102837324,-0.00827814545482397,0.12633439898490906,8588.0,8599.0,6670.0,16583333.333333334,16299678.300277727,16866988.366388943
2024-01-21,-0.0038104988634586334,0.004740406293421984,-0.047983549535274506,0.08422142267227173,8818.0,8902.0,7519.0,16400000.0,16127473.059435708,16672526.940564292
2024-01-22,0.04032595083117485,-0.026993485167622566,-13.736842155456543,0.09497206658124924,4965.0,4704.0,3888.0,18016666.666666668,17751683.816068538,18281649.5172648
2024-01-23,0.06033514253795147,-0.2021253416314721,-4.97381317615509,0.29107577726244926,3188.0,2671.0,2054.0,17600000.0,17233650.83066742,17966349.16933258
2024-01-24,0.08034433424472809,-0.37725719809532166,3.7892158031463623,0.4871794879436493,1411.0,638.0,220.0,17183333.333333332,16715617.845266305,17651048.82140036
2024-01-25,0.061177270486950874,-0.2515472886395097,2.53009800085177,0.333574897920092,3556.0,3040.0,2627.0,16316666.666666666,15936507.418044444,16696825.915288888
2024-01-26,0.04201020672917366,-0.1258373791836978,1.270980198557178,0.17997030789653462,5701.0,5442.0,5034.0,15450000.0,15157396.990822585,15742603.009177415
2024-01-27,0.022843142971396446,-0.00012746972788590938,0.011862396262586117,0.026365717872977257,7846.0,7844.0,7441.0,14583333.333333334,14378286.563600725,14788380.103065943
2024-01-28,0.004745808895677328,-0.003616221518313978,0.02905220864340663,0.036495096050202847,6439.0,6402.5,5980.0,14325000.0,14157143.281800363,14492856.718199637
2024-01-29,-0.01335152518004179,-0.007104973308742046,0.04624202102422714,0.046624474227428436,5032.0,4961.0,4519.0,14066666.666666666,13936000.0,14197333.333333332
2024-01-30,0.01386166363954544,0.009096590802073479,-0.11928610503673553,0.03246891498565674,7135.0,7266.0,6809.0,14100000.0,13827473.059435708,14372526.940564292
2024-01-31,-0.012392210774123669,-0.0015027164481580257,0.011097831651568413,0.07018522173166275,8664.0,8638.0,7505.0,14533333.333333334,14000956.858354291,15065709.808312377
2024-02-01,0.01895965076982975,0.002893658122047782,-0.046136099845170975,0.16262492537498474,8270.0,8318.0,5991.0,15150000.0,13994043.022715233,16305956.977284767
2024-02-02,-0.002632838673889637,-0.004274276085197926,0.03928729519248009,0.05136028304696083,8341.0,8270.0,7462.0,16150000.0,15962344.286879757,16337655.713120243
2024-02-03,0.011819115839898586,-0.001100110006518662,0.026653744280338287,0.06419476866722107,10010.0,9988.0,8783.0,16433333.333333334,16260477.581010448,16606189.08565622
2024-02-04,0.0014235250419005752,-0.013970352709293365,0.13847780227661133,0.20194995403289795,9508.0,9246.0,6139.0,16116666.666666666,15746796.899796698,16486536.433536634
2024-02-05,-0.0071298545226454735,0.006683499086648226,-0.07797608524560928,0.0369463786482811,6688.0,6778.0,6295.0,16050000.0,15830865.33820502,16269134.66179498
2024-02-06,0.015982840210199356,-0.007273226510733366,0.12879708409309387,0.11894818395376205,7340.0,7234.0,5696.0,15150000.0,14893197.611641428,15406802.388358572
2024-02-07,-0.009377344511449337,-0.0015009380877017975,0.013269932940602303,0.04291593283414841,8007.0,7983.0,7326.0,14383333.333333334,14289790.235719929,14476876.43094674
2024-02-08,0.0369887575507164,-0.08062750846147537,0.5910671353340149,0.07051827013492584,2962.0,2520.0,2188.0,14550000.0,14303372.075114489,14796627.924885511
2024-02-09,0.03015811089426279,-0.1452224664390087,0.5697472989559174,0.2039521411061287,2491.5,1920.0,1421.0,14358333.333333332,14041209.383761145,14675457.282905523
2024-02-10,0.02332746423780918,-0.20981742441654205,0.5484274625778198,0.33738601207733154,2021.0,1320.0,654.0,14166666.666666666,13779046.6924078,14554286.640925532
2024-02-11,0.024316687136888504,-0.14367420381555956,0.5164363086223602,0.24253277853131294,3094.0,2587.333333333333,1972.0,14394444.444444444,14057359.377023757,14731529.511865132
2024-02-12,0.025305910035967827,-0.07753098321457705,0.48444515466690063,0.14767954498529434,4167.0,3854.6666666666665,3290.0,14622222.222222222,14335672.061639715,14908772.382804729
2024-02-13,0.02629513293504715,-0.011387762613594532,0.45245400071144104,0.05282631143927574,5240.0,5122.0,4608.0,14850000.0,14613984.746255672,15086015.253744328
2024-02-14,0.020733697805553675,-0.007132500177249312,0.26838814839720726,0.08530695550143719,7325.5,7239.5,5996.5,15908333.333333334,15460732.152047388,16355934.51461928
2024-02-15,0.0151722626760602,-0.002877237740904093,0.08432229608297348,0.11778759956359863,9411.0,9357.0,7385.0,16966666.666666668,16307479.557839103,17625853.775494233
2024-02-16,0.01520154687265555,0.0005717435851693153,-0.06024476389090219,0.09378361950318019,9263.666666666666,9272.666666666666,7692.333333333333,17011111.111111112,16439901.982621543,17582320.23960068
2024-02-17,0.015230831069250902,0.0040207249112427235,-0.20481182386477786,0.06977963944276175,9116.333333333334,9188.333333333334,7999.666666666667,17055555.555555556,16572324.407403983,17538786.70370713
2024-02-18,0.015260115265846252,0.007469706237316132,-0.34937888383865356,0.04577565938234329,8969.0,9104.0,8307.0,17100000.0,16704746.832186423,17495253.167813577
2024-02-19,0.0031347961630672216,0.0005527152097783983,-0.006617038976401091,0.03754119575023651,7233.0,7241.0,6717.0,17616666.666666668,17243350.83374351,17989982.499589827
2024-02-20,0.014746446162462234,0.011493084020912647,-0.4057450592517853,0.05104628950357437,9719.0,9945.0,8979.0,18816666.666666668,18617963.090676926,19015370.24265641
2024-02-21,0.006065327674150467,0.0019321005092933774,-0.02386472187936306,0.11891991645097733,9040.0,9075.0,7146.0,18166666.666666668,17840000.0,18493333.333333336
2024-02-22,-0.013855421915650368,0.005980265326797962,-0.05169739946722984,0.11586511880159378,9973.0,10093.0,7997.0,17666666.666666668,17501384.9542952,17831948.379038136
2024-02-23,0.025356948375701904,0.015393723733723164,-7.222222328186035,0.028717102482914925,6652.0,6860.0,6477.0,16716666.666666666,16222330.298952896,17211003.034380436
2024-02-24,-0.0024696546606719494,0.0037968188989907503,-0.05268403887748718,0.07524044811725616,9708.0,9782.0,8413.0,16450000.0,16103979.962044585,16796020.037955415
2024-02-25,0.023446019738912582,0.014004149474203587,-1.894736886024475,0.04699424281716347,7604.0,7820.0,7118.0,15950000.0,15422253.84890082,16477746.15109918
2024-02-26,0.030812324956059456,-0.2969247102737427,0.5887300372123718,0.26526716351509094,1223.0,663.0,385.0,14816666.666666666,14645672.969576849,14987660.363756483
2024-02-27,0.023614684119820595,-0.23464985191822052,0.5282427072525024,0.22659574449062347,1860.0,1153.0,727.0,15016666.666666666,14831299.523467613,15202033.809865719
2024-02-28,0.01079622097313404,0.006575375329703093,-0.10001835227012634,0.0890934020280838,8234.0,8343.0,6978.0,14566666.666666666,14224679.27248703,14908654.060846303
2024-02-29,-0.02027306519448757,0.0022455481812357903,-0.015215853229165077,0.09424710273742676,9553.0,9596.0,7943.0,14100000.0,13939966.670138165,14260033.329861835
2024-03-01,0.028448738157749176,-0.008806366473436356,0.2798381745815277,0.00885529164224863,4754.0,4671.0,4589.0,14533333.333333334,14368051.620961867,14698615.0457048
2024-03-02,0.01659388653934002,-0.019824117422103882,0.21875,0.02175264060497284,3421.0,3288.0,3148.0,14366666.666666666,14186555.09630602,14546778.237027312
2024-03-03,0.05822136998176575,-0.25082042813301086,0.5981663465499878,0.31198686361312866,1334.0,799.0,419.0,14133333.333333334,13892395.904849414,14374270.761817254
2024-03-04,0.016041161492466927,0.006557135377079248,-0.1502363234758377,0.025290805846452713,6742.0,6831.0,6494.0,14083333.333333334,13677161.722092742,14489504.944573926
2024-03-05,-0.0197137463837862,0.0063582248985767365,-0.04580896720290184,0.04049234092235565,7345.0,7439.0,6860.0,13950000.0,13683411.178028785,14216588.821971215
2024-03-06,0.02679283916950226,0.0005588465137407184,-0.017680339515209198,0.0014543014112859964,4471.0,4476.0,4463.0,14116666.666666666,13846894.581791716,14386438.751541616
2024-03-07,0.04053488187491894,-0.07373524209833704,0.6757002379745245,0.07601059804437682,3727.0,3559.75,3456.5,14637500.0,14319215.772595035,14955784.227404965
2024-03-08,0.05427692458033562,-0.1480293307104148,1.3690808154642582,0.15056689467746764,2983.0,2643.5,2450.0,15158333.333333332,14791536.963398352,15525129.703268312
2024-03-09,0.0680189672857523,-0.22232341932249255,2.062461392953992,0.22512319131055847,2239.0,1727.25,1443.5,15679166.666666666,15263858.154201671,16094475.17913166
2024-03-10,0.08176100999116898,-0.2966175079345703,2.7558419704437256,0.2996794879436493,1495.0,811.0,437.0,16200000.0,15736179.34500499,16663820.65499501
2024-03-11,0.02687329426407814,0.010849314741790295,0.9734513163566589,0.05314837023615837,9026.0,9224.0,8293.0,16850000.0,16400907.581894327,17299092.418105673
2024-03-12,0.015887634828686714,-0.1530085951089859,0.5390672087669373,0.15785349905490875,2012.0,1478.0,1075.0,16633333.333333334,15968343.976693362,17298322.689973306
2024-03-13,0.15298688411712646,-0.2898010015487671,-4.58661413192749,0.35629454255104065,1037.0,571.0,271.0,17716666.666666668,17057965.38552492,18375367.947808415
2024-03-14,0.00711660273373127,0.0014616509433835745,-0.021990740671753883,0.022382784634828568,6490.0,6509.0,6224.0,16900000.0,16491993.464104638,17308006.535895362
2024-03-15,0.03064202331006527,-0.17966102063655853,0.6837907433509827,0.2544769048690796,1914.0,1331.0,791.0,18450000.0,15320233.27812865,21579766.72187135
2024-03-16,0.04554951936006546,-0.2722678482532501,0.5536999106407166,0.23870967328548431,1007.0,576.0,354.0,19316666.666666668,17873332.224788725,20760001.10854461
2024-03-17,-0.021265950053930283,-0.0012653422309085727,0.008535336703062057,0.05535499379038811,7913.0,7893.0,7065.0,17416666.666666668,16298244.722834894,18535088.610498443
2024-03-18,0.019993223249912262,0.010710187256336212,1.6342412233352661,0.03263206034898758,7759.0,7927.0,7426.0,17466666.666666668,17072494.90489551,17860838.428437825
2024-03-19,0.09443861246109009,-0.1887824833393097,1.038374662399292,0.11676082760095596,869.0,593.0,469.0,16783333.333333332,16403219.081503117,17163447.58516355
2024-03-20,0.13897596299648285,-0.17215189337730408,-21.935483932495117,0.14136125147342682,926.0,654.0,492.0,17350000.0,16218676.409391783,18481323.590608217
2024-03-21,0.07698999345302582,-0.14256618916988373,1.830065369606018,0.1332436054944992,1122.0,842.0,644.0,19300000.0,18522560.784798365,20077439.215201635
2024-03-22,0.06963179260492325,-0.24928909540176392,1.5132335424423218,0.35384616255760193,1318.0,792.0,378.0,19600000.0,18951914.408944827,20248085.591055173
2024-03-23,0.028459273278713226,0.01151056494563818,-0.7019230723381042,0.02911686897277832,6269.0,6415.0,6052.0,20333333.333333332,18742899.374384463,21923767.2922822
2024-03-24,-0.01894269697368145,-0.0007384918280877173,0.004067244939506054,0.09919667989015579,6098.0,6089.0,4990.0,22033333.333333332,20667257.233289447,23399409.433377218
2024-03-25,-0.018770392797887326,-0.00043411607039161025,0.0020712272264063357,0.0949163980782032,6310.5,6306.2,5228.9,20823181.816666666,19540140.612670187,22106223.020663146
2024-03-26,-0.018598088622093202,-0.0001297403126955032,7.520951330661739e-05,0.09063611626625061,6523.0,6523.4,5467.8,19613030.299999997,18413023.992050923,20813036.607949074
2024-03-27,-0.018425784446299075,0.00017463544500060388,-0.0019208081997931009,0.08635583445429802,6735.5,6740.6,5706.7,18402878.78333333,17285907.371431664,19519850.195235003
2024-03-28,-0.01825348027050495,0.00047901120269671087,-0.003916825912892819,0.08207555264234542,6948.0,6957.8,5945.6,17192727.266666666,16158790.750812402,18226663.782520927
2024-03-29,-0.018081176094710827,0.0007833869603928179,-0.0059128436259925365,0.07779527083039284,7160.5,7175.0,6184.5,15982575.75,15031674.13019314,16933477.369806856
2024-03-30,-0.017908871918916703,0.001087762718088925,-0.007908861339092256,0.07351498901844025,7373.0,7392.2,6423.4,14772424.233333332,13904557.50957388,15640290.957092784
2024-03-31,-0.01773656774312258,0.0013921384757850318,-0.009904879052191975,0.06923470720648767,7585.5,7609.4,6662.3,13562272.716666665,12777440.888954619,14347104.544378713
2024-04-01,-0.01756426356732845,0.001696514233481139,-0.011900896765291692,0.06495442539453507,7798.0,7826.6,6901.2,12352121.2,11650324.268335357,13053918.131664641
