date,GMT_0000_PAR,GMT_0300_PAR,GMT_0600_PAR,GMT_0900_PAR,GMT_1200_PAR,GMT_1500_PAR,GMT_1800_PAR,GMT_2100_PAR,DAPAR,PDVI,MPAR,APAR,PPDI,PAI,density_mean,density_lower,density_upper
2021-01-01,61.67905044555664,247.15306091308594,210.6964111328125,0.0,0.0,0.0,0.0,0.0,519.5285224914551,247153060.91308594,27.461451212565105,0.0,0.25,-0.9999999980751779,4075622.5,3297155.229716191,4854089.770283809
2021-01-02,66.88575744628906,254.7873077392578,170.9289093017578,0.0,0.0,0.0,0.0,0.0,492.6019744873047,254787307.7392578,28.309700859917534,0.0,0.375,-0.9999999979699635,2466880.3333333335,2194850.5194516205,2738910.1472150465
2021-01-03,51.17420959472656,228.6804656982422,173.02182006835938,0.0,0.0,0.0,0.0,0.0,452.8764953613281,228680465.6982422,25.40894063313802,0.0,0.25,-0.9999999977918925,2329588.3333333335,2152933.114731741,2506243.551934926
2021-01-04,12.916365623474121,60.61852264404297,16.036460876464844,0.0,0.0,0.0,0.0,0.0,89.57134914398193,60618522.64404297,6.735391404893663,0.0,0.375,-0.999999988835716,2112371.8333333335,1932278.149344465,2292465.5173222017
2021-01-05,34.08477020263672,160.2778778076172,84.48191833496094,0.0,0.0,0.0,0.0,0.0,278.84456634521484,160277877.8076172,17.808653089735245,0.0,0.25,-0.9999999964137727,2863050.6666666665,2491680.2504594945,3234421.0828738385
2021-01-06,15.945000648498535,74.04296875,41.626075744628906,0.0009087576763704419,0.0,0.0,0.0,0.0,131.6149539008038,74042968.75,8.226895554702626,0.0,0.25,-0.9999999924020793,2690222.0,2441698.882888178,2938745.117111822
2021-01-07,19.82686996459961,91.62187194824219,166.8946075439453,0.14192481338977814,0.0,0.0,0.0,0.0,278.4852742701769,166894607.5439453,18.528075858950615,0.0,0.25,-0.9999999964091458,4251985.333333333,3722108.522796188,4781862.1438704785
2021-01-08,57.40433120727539,239.2525634765625,199.4998779296875,0.5149025321006775,0.0,0.0,0.0,0.0,496.67167514562607,239252563.4765625,26.52640677160687,0.0,0.25,-0.9999999979865974,3777234.5,3387268.4182895334,4167200.5817104666
2021-01-09,74.54743194580078,264.57501220703125,221.58319091796875,1.10546875,0.0,0.0,0.0,0.0,561.8111038208008,264575012.20703125,29.274393717447918,0.0,0.375,-0.9999999982200423,3009715.8333333335,2758023.5280950554,3261408.1385716116
2021-01-10,33.175540924072266,151.0856170654297,169.40548706054688,0.9233064651489258,0.0,0.0,0.0,0.0,354.58995151519775,169405487.06054688,18.72024228837755,0.0,0.25,-0.9999999971798411,2267453.3333333335,2005351.0488078273,2529555.6178588397
2021-01-11,36.83750915527344,167.02359008789062,173.93435668945312,1.2344601154327393,0.0,0.0,0.0,0.0,379.0299160480499,173934356.68945312,19.188877397113377,0.0,0.25,-0.9999999973616859,2167271.0,1405847.8143098466,2928694.1856901534
2021-01-12,56.83024215698242,237.12945556640625,200.50213623046875,1.9267574548721313,0.0,0.0,0.0,0.0,496.38859140872955,237129455.56640625,26.13363312350379,0.0,0.25,-0.9999999979854493,3511082.8333333335,3025290.8045484964,3996874.8621181706
2021-01-13,77.705078125,268.7313232421875,223.86135864257812,3.015303611755371,0.0,0.0,0.0,0.0,573.313063621521,268731323.2421875,29.524002181159126,0.0,0.375,-0.9999999982557523,3218520.1666666665,2898186.976894946,3538853.356438387
2021-01-14,77.51813507080078,269.1622619628906,218.72474670410156,3.2878289222717285,0.0,0.0,0.0,0.0,568.6929726600647,269162261.9628906,29.541603671179878,0.0,0.375,-0.9999999982415819,3438946.1666666665,2971145.777496488,3906746.555836845
2021-01-15,58.90761184692383,240.09375,144.9734344482422,2.075352191925049,0.0,0.0,0.0,0.0,446.05014848709106,240093750.0,26.44648864534166,0.0,0.375,-0.9999999977580997,4257961.5,3825047.0057964684,4690875.994203532
2021-01-16,44.537696838378906,194.82582092285156,91.32601165771484,1.4804340600967407,0.0,0.0,0.0,0.0,332.16996347904205,194825820.92285156,21.482820762528313,0.0,0.375,-0.999999996989493,3838141.5,3430873.701575921,4245409.298424079
2021-01-17,54.20227813720703,227.82118225097656,184.35086059570312,3.351879358291626,0.0,0.0,0.0,0.0,469.72620034217834,227821182.25097656,24.94103365474277,0.0,0.25,-0.9999999978711003,3288505.6666666665,2975776.9316442152,3601234.401689118
2021-01-18,82.61393737792969,275.2450866699219,231.9353485107422,6.076653003692627,0.0,0.0,0.0,0.0,595.8710255622864,275245086.6699219,29.90760374069214,0.0,0.375,-0.9999999983217845,3831079.1666666665,3551893.307635119,4110265.025698214
2021-01-19,62.58119583129883,245.9492950439453,198.9400177001953,4.615749835968018,0.0,0.0,0.0,0.0,512.0862584114075,245949295.0439453,26.81483835644192,0.0,0.25,-0.999999998047204,3378966.3333333335,2901668.955913151,3856263.710753516
2021-01-20,83.48483276367188,276.4742126464844,213.8231201171875,5.723274230957031,0.0,0.0,0.0,0.0,579.5054397583008,276474212.6464844,30.08343760172526,0.0,0.375,-0.9999999982743907,4795547.166666667,3742752.994272313,5848341.339061021
2021-01-21,32.52129364013672,135.77769470214844,100.21101379394531,2.639724016189575,0.0,0.0,0.0,0.0,271.14972615242004,135777694.70214844,14.79310785399543,0.0,0.25,-0.9999999963120008,3634664.8333333335,3298813.100302609,3970516.566364058
2021-01-22,15.521873474121094,64.1427230834961,18.258617401123047,0.5099237561225891,0.0,0.0,0.0,0.0,98.43313771486282,64142723.083496094,7.070311036374834,0.0,0.375,-0.9999999898408197,2869093.1666666665,2656410.443243635,3081775.890089698
