ndci,ndvi,evi,ndwi,fai,nrfi,b1,b2,b3,b4,b5,b6,b7,density_mean,density_lower,density_upper,date
0.09625862538814545,-0.42724937200546265,4.679054260253906,0.4486345946788788,-576.9959716796875,-0.04176734387874603,1388.0,557.0,1244.0,1509.0,212.0,207.0,94.0,2466880.3333333335,2194850.5194516205,2738910.1472150465,2021-01-02
0.09841269999742508,-0.35361918807029724,25.566667556762695,0.4468524158000946,-513.6412353515625,-0.0294214878231287,1468.0,701.0,1278.0,1557.0,268.0,290.0,134.0,2329588.3333333335,2152933.114731741,2506243.551934926,2021-01-03
-0.03514072299003601,-0.06404129415750504,0.1590542197227478,-0.037357453256845474,-233.69949340820312,-0.04314938932657242,2783.0,2448.0,3255.0,3034.0,2638.0,2312.0,1813.0,2112371.8333333335,1932278.149344465,2292465.5173222017,2021-01-04
0.010582451708614826,-0.004922067280858755,0.08764241635799408,-0.0001648532779654488,-41.503517150878906,0.005004512146115303,6125.0,6065.0,5937.0,6064.0,6067.0,6039.0,4750.0,2863050.6666666665,2491680.2504594945,3234421.0828738385,2021-01-05
0.004524887073785067,0.003912314306944609,-0.04928034916520119,0.0493314303457737,1055.7879638671875,0.001748688519001007,8020.0,8083.0,7920.0,7992.0,7323.0,3404.0,1614.0,2690222.0,2441698.882888178,2938745.117111822,2021-01-06
-0.03596172854304314,0.0038100075908005238,-0.019155457615852356,0.034374453127384186,530.8552856445312,0.0033256588503718376,5883.0,5928.0,6280.0,5844.0,5534.0,3624.0,2306.0,4251985.333333333,3722108.522796188,4781862.1438704785,2021-01-07
0.15741094946861267,-0.28867924213409424,-2.182596206665039,0.2651006579399109,-410.9045104980469,-0.050399720668792725,1366.0,754.0,1100.0,1511.0,438.0,431.0,261.0,2267453.3333333335,2005351.0488078273,2529555.6178588397,2021-01-10
0.05404040589928627,-0.17055438458919525,1.2966375350952148,0.047436878085136414,-381.69146728515625,-0.03856680914759636,1932.0,1369.0,1873.0,2087.0,1245.0,1089.0,759.0,2167271.0,1405847.8143098466,2928694.1856901534,2021-01-11
0.16563524305820465,-0.283643901348114,-1.0900700092315674,0.22695034742355347,-452.7185974121094,-0.016185337677598,1550.0,865.0,1146.0,1601.0,545.0,470.0,365.0,3511082.8333333335,3025290.8045484964,3996874.8621181706,2021-01-12
0.134989932179451,-0.36729222536087036,-8.973798751831055,0.3258427083492279,-560.8984985351562,-0.04968944191932678,1530.0,708.0,1288.0,1690.0,360.0,316.0,222.0,3438946.1666666665,2971145.777496488,3906746.555836845,2021-01-14
-0.013751562684774399,-0.014513274654746056,0.08838746696710587,0.04806123673915863,212.94773864746094,-0.004630701616406441,4299.0,4176.0,4460.0,4339.0,3793.0,2737.0,1702.0,3838141.5,3430873.701575921,4245409.298424079,2021-01-16
0.12102874368429184,-0.3363363444805145,40.975608825683594,0.24741297960281372,-453.4834289550781,-0.05218317359685898,1335.0,663.0,1162.0,1482.0,400.0,319.0,214.0,3288505.6666666665,2975776.9316442152,3601234.401689118,2021-01-17
0.13116726279258728,-0.37139809131622314,-9.802817344665527,0.38588234782218933,-472.75177001953125,-0.04638218879699707,1285.0,589.0,1083.0,1410.0,261.0,247.0,58.0,3378966.3333333335,2901668.955913151,3856263.710753516,2021-01-19
0.15121059119701385,-0.35853132605552673,-1.4121650457382202,0.5570117831230164,-427.6321716308594,-0.0007942811935208738,1258.0,594.0,929.0,1260.0,169.0,159.0,44.0,4795547.166666667,3742752.994272313,5848341.339061021,2021-01-20
0.02612052857875824,0.0054319859482347965,0.545976996421814,0.028424376621842384,534.6140747070312,0.011161493137478828,8697.0,8792.0,8072.0,8505.0,8306.0,6653.0,4123.0,3634664.8333333335,3298813.100302609,3970516.566364058,2021-01-21
-0.013158791698515415,-0.008358502760529518,0.053153473883867264,0.09247078746557236,587.7376708984375,-0.004092958755791187,7178.0,7059.0,7430.0,7237.0,5864.0,3892.0,2350.0,2869093.1666666665,2656410.443243635,3081775.890089698,2021-01-22
-0.023275047540664673,0.006895731668919325,-0.045529477298259735,0.0338134765625,283.5437316894531,0.005174488760530949,8353.0,8469.0,8661.0,8267.0,7915.0,7574.0,5928.0,2678835.0,2352409.171755135,3005260.828244865,2021-01-23
0.000830564764328301,-0.00645570969209075,0.05322862043976784,0.004493901040405035,79.2291488647461,-0.006788511760532856,4755.0,4694.0,4812.0,4820.0,4652.0,4103.0,2913.0,7865079.666666667,-2646212.0348981554,18376371.36823149,2021-01-24
-0.0037296037189662457,0.00376662309281528,-0.04039571434259415,0.006784887984395027,164.92562866210938,0.005352571606636047,6480.0,6529.0,6459.0,6411.0,6441.0,5941.0,4713.0,2647948.8333333335,2424112.6201159004,2871785.0465507666,2021-01-25
0.007670018821954727,-0.0023032412864267826,0.033166155219078064,0.06258226931095123,442.0592956542969,0.00297936936840415,8921.0,8880.0,8733.0,8868.0,7834.0,6675.0,4977.0,3859860.5,3539962.870429341,4179758.129570659,2021-01-26
-0.029718559235334396,-0.1187947615981102,0.28327444195747375,0.05843963101506233,-323.3497619628906,-0.04228329658508301,2265.0,1784.0,2616.0,2465.0,1587.0,1532.0,1196.0,2819976.6666666665,2664515.9111052323,2975437.4222281007,2021-01-27
0.04497724771499634,0.008336706086993217,0.125091090798378,0.03197481855750084,162.14572143554688,0.012813094072043896,6126.0,6229.0,5457.0,5971.0,5843.0,5851.0,4686.0,3108991.0,2592386.6361823725,3625595.3638176275,2021-01-28
0.00277718435972929,0.00261724554002285,-0.029581068083643913,0.030986325815320015,506.939697265625,0.0006387055618688464,7050.0,7087.0,7002.0,7041.0,6661.0,4865.0,2700.0,3794004.0,3060177.9475648412,4527830.052435159,2021-01-31
-0.00384846655651927,-0.0006033546524122357,0.005473453551530838,0.11918918788433075,1067.74267578125,0.0005429864395409822,8292.0,8282.0,8347.0,8283.0,6518.0,3281.0,1567.0,3410594.8333333335,3265790.333985993,3555399.332680674,2021-02-01
0.01448675524443388,-0.16271963715553284,0.6353151798248291,0.1651311069726944,-378.973876953125,-0.035487961024045944,2283.0,1644.0,2381.0,2451.0,1178.0,1074.0,654.0,2724104.5,2487437.7848465834,2960771.2151534166,2021-02-02
