date,ndci,ndvi,evi,ndwi,fai,nrfi,b1,b2,b3,b4,b5,b6,b7,density_mean,density_lower,density_upper
2021-01-02,0.09625862538814545,-0.42724937200546265,4.679054260253906,0.4486345946788788,-576.9959716796875,-0.04176734387874603,1388.0,557.0,1244.0,1509.0,212.0,207.0,94.0,7334620.0,5546074.601405852,9123165.398594148
2021-01-03,0.09841269999742508,-0.35361918807029724,25.566667556762695,0.4468524158000946,-513.6412353515625,-0.0294214878231287,1468.0,701.0,1278.0,1557.0,268.0,290.0,134.0,5136341.666666667,3689354.603590767,6583328.729742567
2021-01-04,-0.03514072299003601,-0.06404129415750504,0.1590542197227478,-0.037357453256845474,-233.69949340820312,-0.04314938932657242,2783.0,2448.0,3255.0,3034.0,2638.0,2312.0,1813.0,3622895.0,2938557.904018173,4307232.095981827
2021-01-05,0.010582451708614826,-0.004922067280858755,0.08764241635799408,-0.0001648532779654488,-41.503517150878906,0.005004512146115303,6125.0,6065.0,5937.0,6064.0,6067.0,6039.0,4750.0,3845083.3333333335,2955843.6350836456,4734323.031583021
2021-01-06,0.004524887073785067,0.003912314306944609,-0.04928034916520119,0.0493314303457737,1055.7879638671875,0.001748688519001007,8020.0,8083.0,7920.0,7992.0,7323.0,3404.0,1614.0,3924880.0,3191972.997803077,4657787.002196923
2021-01-07,-0.03596172854304314,0.0038100075908005238,-0.019155457615852356,0.034374453127384186,530.8552856445312,0.0033256588503718376,5883.0,5928.0,6280.0,5844.0,5534.0,3624.0,2306.0,8621175.0,6709198.740594843,10533151.259405157
2021-01-08,0.02849583079417546,-0.0936864089841644,-0.7403023739655813,0.11128318806489308,216.9353535970052,-0.014582800989349682,4377.333333333333,4203.333333333333,4553.333333333333,4399.666666666667,3835.333333333333,2559.666666666667,1624.3333333333335,7569425.0,6121192.2337586,9017657.7662414
2021-01-09,0.09295339013139406,-0.19118282555912933,-1.4614492903153102,0.18819192300240198,-96.98457845052087,-0.0324912608290712,2871.6666666666665,2478.6666666666665,2826.6666666666665,2955.3333333333335,2136.6666666666665,1495.3333333333335,942.6666666666667,6517675.0,5533185.726922358,7502164.273077643
2021-01-10,0.15741094946861267,-0.28867924213409424,-2.182596206665039,0.2651006579399109,-410.9045104980469,-0.050399720668792725,1366.0,754.0,1100.0,1511.0,438.0,431.0,261.0,5465925.0,4945179.220086115,5986670.779913885
2021-01-11,0.05404040589928627,-0.17055438458919525,1.2966375350952148,0.047436878085136414,-381.69146728515625,-0.03856680914759636,1932.0,1369.0,1873.0,2087.0,1245.0,1089.0,759.0,4806896.666666667,4313548.217822802,5300245.115510532
2021-01-12,0.16563524305820465,-0.283643901348114,-1.0900700092315674,0.22695034742355347,-452.7185974121094,-0.016185337677598,1550.0,865.0,1146.0,1601.0,545.0,470.0,365.0,4986473.333333333,4494405.727158673,5478540.939507993
2021-01-13,0.15031258761882782,-0.3254680633544922,-5.031934380531311,0.2763965278863907,-506.8085479736328,-0.03293738979846239,1540.0,786.5,1217.0,1645.5,452.5,393.0,293.5,4090804.1666666665,3663689.6359073156,4517918.697426017
2021-01-14,0.134989932179451,-0.36729222536087036,-8.973798751831055,0.3258427083492279,-560.8984985351562,-0.04968944191932678,1530.0,708.0,1288.0,1690.0,360.0,316.0,222.0,3195135.0,2832973.5446559577,3557296.4553440423
2021-01-15,0.060619184747338295,-0.1909027500078082,-4.442705642431974,0.18695197254419327,-173.97537994384766,-0.02716007176786661,2914.5,2442.0,2874.0,3014.5,2076.5,1526.5,962.0,3681089.166666667,3263918.779149444,4098259.55418389
2021-01-16,-0.013751562684774399,-0.014513274654746056,0.08838746696710587,0.04806123673915863,212.94773864746094,-0.004630701616406441,4299.0,4176.0,4460.0,4339.0,3793.0,2737.0,1702.0,4167043.3333333335,3694864.01364293,4639222.6530237375
2021-01-17,0.12102874368429184,-0.3363363444805145,40.975608825683594,0.24741297960281372,-453.4834289550781,-0.05218317359685898,1335.0,663.0,1162.0,1482.0,400.0,319.0,214.0,4889243.333333333,4396043.272898185,5382443.393768481
2021-01-18,0.12609800323843956,-0.35386721789836884,15.586395740509033,0.3166476637125015,-463.1175994873047,-0.049282681196928024,1310.0,626.0,1122.5,1446.0,330.5,283.0,136.0,4919054.166666666,4012977.37046012,5825130.962873213
2021-01-19,0.13116726279258728,-0.37139809131622314,-9.802817344665527,0.38588234782218933,-472.75177001953125,-0.04638218879699707,1285.0,589.0,1083.0,1410.0,261.0,247.0,58.0,4948865.0,3629911.468022055,6267818.531977945
2021-01-20,0.15121059119701385,-0.35853132605552673,-1.4121650457382202,0.5570117831230164,-427.6321716308594,-0.0007942811935208738,1258.0,594.0,929.0,1260.0,169.0,159.0,44.0,5522246.666666667,5099983.995839506,5944509.337493828
2021-01-21,0.02612052857875824,0.0054319859482347965,0.545976996421814,0.028424376621842384,534.6140747070312,0.011161493137478828,8697.0,8792.0,8072.0,8505.0,8306.0,6653.0,4123.0,4939941.666666667,4056221.1847744435,5823662.14855889
2021-01-22,-0.013158791698515415,-0.008358502760529518,0.053153473883867264,0.09247078746557236,587.7376708984375,-0.004092958755791187,7178.0,7059.0,7430.0,7237.0,5864.0,3892.0,2350.0,3661231.6666666665,3287830.4615635313,4034632.8717698017
2021-01-23,-0.023275047540664673,0.006895731668919325,-0.045529477298259735,0.0338134765625,283.5437316894531,0.005174488760530949,8353.0,8469.0,8661.0,8267.0,7915.0,7574.0,5928.0,2783510.0,2285498.607748425,3281521.392251575
