date,ndci,ndvi,evi,ndwi,fai,nrfi,b1,b2,b3,b4,b5,b6,b7,density_mean,density_lower,density_upper,FAI
2021-01-02,0.0962586253881454,-0.4272493720054626,4.679054260253906,0.4486345946788788,-576.9959716796875,-0.041767343878746,1388.0,557.0,1244.0,1509.0,212.0,207.0,94.0,2466880.333333333,2194850.5194516205,2738910.1472150465,-0.268085303734164
2021-01-03,0.098412699997425,-0.3536191880702972,25.56666755676269,0.4468524158000946,-513.6412353515625,-0.0294214878231287,1468.0,701.0,1278.0,1557.0,268.0,290.0,134.0,2329588.333333333,2152933.114731741,2506243.551934926,-0.19304864305372166
2021-01-04,-0.035140722990036,-0.064041294157505,0.1590542197227478,-0.0373574532568454,-233.69949340820312,-0.0431493893265724,2783.0,2448.0,3255.0,3034.0,2638.0,2312.0,1813.0,2112371.833333333,1932278.149344465,2292465.5173222017,-0.05461614225931918
2021-01-05,0.0105824517086148,-0.0049220672808587,0.087642416357994,-0.0001648532779654,-41.503517150878906,0.0050045121461153,6125.0,6065.0,5937.0,6064.0,6067.0,6039.0,4750.0,2863050.6666666665,2491680.2504594945,3234421.0828738385,-0.0032162911610827665
2021-01-06,0.004524887073785,0.0039123143069446,-0.0492803491652011,0.0493314303457737,1055.7879638671875,0.001748688519001,8020.0,8083.0,7920.0,7992.0,7323.0,3404.0,1614.0,2690222.0,2441698.882888178,2938745.117111822,0.019788007519406813
2021-01-07,-0.0359617285430431,0.0038100075908005,-0.0191554576158523,0.0343744531273841,530.8552856445312,0.0033256588503718,5883.0,5928.0,6280.0,5844.0,5534.0,3624.0,2306.0,4251985.333333333,3722108.522796188,4781862.143870479,0.014592702081258952
2021-01-08,0.0284958307941754,-0.0936864089841644,-0.7403023739655813,0.111283188064893,216.9353535970052,-0.0145828009893496,4377.333333333333,4203.333333333333,4553.333333333333,4399.666666666667,3835.333333333333,2559.666666666667,1624.3333333333337,3590474.6666666665,3149856.0314667346,4031093.301866599,0.002496839034117359
2021-01-09,0.037010689162545664,-0.11930906751917467,-0.06132240427864921,0.09000108473830747,17.39307996961807,-0.022577470375431834,3562.222222222222,3258.555555555555,3659.8888888888887,3628.777777777778,2971.8888888888887,2069.444444444445,1335.8888888888891,3116073.4444444445,2568519.9590811054,3663626.9298077836,-0.013822456432825541
2021-01-10,0.045525547530915936,-0.14493172605418492,0.6176575654082829,0.06871898141172193,-182.14919365776905,-0.030572139761514065,2747.1111111111113,2313.7777777777774,2766.4444444444443,2857.8888888888887,2108.4444444444443,1579.2222222222222,1047.4444444444446,2641672.222222222,1987183.886695476,3296160.5577489687,-0.04214868021275427
2021-01-11,0.0540404058992862,-0.1705543845891952,1.2966375350952148,0.0474368780851364,-381.69146728515625,-0.0385668091475963,1932.0,1369.0,1873.0,2087.0,1245.0,1089.0,759.0,2167271.0,1405847.8143098466,2928694.1856901534,-0.1034447081769237
2021-01-12,0.0404820121824741,-0.13934616260230537,1.054987521469593,0.04756174981594084,-262.7636260986328,-0.03177958764135832,2405.4,1930.4,2390.4,2537.4,1754.6,1418.6,947.6,2501445.1,1810852.9917630614,3192037.2082369383,-0.058738803353271876
2021-01-13,0.026923618465662,-0.10813794061541551,0.8133375078439713,0.04768662154674528,-143.83578491210938,-0.024992366135120337,2878.8,2491.8,2907.8,2987.8,2264.2,1748.2,1136.2,2835619.2,2215858.169216276,3455380.2307837238,-0.03222622739437229
2021-01-14,0.013365224748849894,-0.07692971862852568,0.5716874942183494,0.04781149327754972,-24.907943725585938,-0.018205144628882355,3352.2,3053.2,3425.2,3438.2,2773.8,2077.8,1324.8,3169793.3,2620863.3466694914,3718723.2533305087,-0.014678874103123308
2021-01-15,-0.00019316896796220395,-0.04572149664163584,0.33003748059272764,0.04793636500835416,94.0198974609375,-0.011417923122644377,3825.6,3614.6,3942.6,3888.6,3283.4,2407.4,1513.4,3503967.4,3025868.524122706,3982066.275877294,-0.002207016178243724
2021-01-16,-0.0137515626847743,-0.014513274654746,0.0883874669671058,0.0480612367391586,212.9477386474609,-0.0046307016164064,4299.0,4176.0,4460.0,4339.0,3793.0,2737.0,1702.0,3838141.5,3430873.701575921,4245409.298424079,0.007113209241112427
2021-01-17,0.1210287436842918,-0.3363363444805145,40.9756088256836,0.2474129796028137,-453.4834289550781,-0.0521831735968589,1335.0,663.0,1162.0,1482.0,400.0,319.0,214.0,3288505.6666666665,2975776.9316442152,3601234.401689118,-0.2020288858321871
2021-01-18,0.1260980032384395,-0.3538672178983688,15.586395740509031,0.3166476637125015,-463.1175994873047,-0.049282681196928,1310.0,626.0,1122.5,1446.0,330.5,283.0,136.0,3333736.0,2938722.9437786834,3728749.0562213166,-0.20945084775980652
2021-01-19,0.09277217835187906,-0.2341008166161676,10.572922825813293,0.2205732346822818,-130.54037475585938,-0.029134623085459065,3772.3333333333335,3348.0,3439.0,3799.0,2989.0,2406.3333333333335,1465.0,3434045.611111111,3058752.995953325,3809338.226268897,-0.020851739938780523
2021-01-20,0.05944635346531864,-0.11433441533396646,5.559449911117554,0.12449880565206203,202.03684997558594,-0.008986564973990134,6234.666666666667,6070.0,5755.5,6152.0,5647.5,4529.666666666667,2794.0,3534355.2222222225,3178783.0481279674,3889927.3963164776,0.003846366047804311
2021-01-21,0.0261205285787582,0.0054319859482347,0.545976996421814,0.0284243766218423,534.6140747070312,0.0111614931374788,8697.0,8792.0,8072.0,8505.0,8306.0,6653.0,4123.0,3634664.8333333335,3298813.100302609,3970516.566364058,0.013582172389997904
